Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 大安民榮,2021-01-26,5,1 天前,,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,5,2 天前,防疫作的相當到位！,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,5,4 天前,購物的好去處,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,5,5 天前,,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,5,1 週前,店員阿姨服務好，商品種類非常齊全，但麵包類商品與他店比較偏少一些。,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,5,1 週前,,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,5,2 週前,,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,3,2 週前,"賣場是一整層樓，商品品項麵包、咖啡、酒類商品品項比其他同區全聯門市多(甚至還有賣現烤地瓜)。
結帳櫃台容易塞車，因為等待路線不是很清楚，有幾次被其他客人插隊。
出入口處的機車停放沒有管，常阻礙到客人出入(有時還有私家車擋住)。",10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,2,2 週前,咖啡機壞了3個月了也不修，促銷被騙寄杯，結果買不到..,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,5,2 週前,民榮公園附近的全聯，是當地里民的好朋友^^,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,5,3 週前,,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,4,4 週前,,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,4,1 個月前,,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,4,1 個月前,這裡很寬廣,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,4,1 個月前,,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,2,1 個月前,,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,4,1 個月前,內裝改善很多，但結帳櫃檯常要排隊！,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,1,1 個月前,結帳慢，服務人員一點都沒禮貌，尤其是二個年帳女的,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,3,1 個月前,,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,5,1 個月前,,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,5,1 個月前,,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,5,1 個月前,"(由 Google 提供翻譯) 充足

(原始評論)
充足",10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,2,2 個月前,地下室的訊號不好無法用全聯App支付很不方便,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,3,2 個月前,,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,4,2 個月前,,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,1,2 個月前,,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,2,2 個月前,店員不會操作有錢卡結帳,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,4,2 個月前,貨物完全，服務佳,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,5,2 個月前,"商品選擇豐富, 蔬果新鮮, 收銀員服務很好, 店外有幾個停車位, 購物很方便",10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,5,3 個月前,店長的服務很好,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,1,3 個月前,蔬菜水果類很差、在櫃裡照紅色的燈、現場看起來都很漂亮、常常買回去才發現原來是爛的。而且像是番茄 梨子那些、都會刻意把沒受傷的面往下包起來讓你看不清楚。,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,5,3 個月前,,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,5,3 個月前,方便實惠,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,5,3 個月前,"(由 Google 提供翻譯) 超市提供友好的服務和您需要的東西，還有什麼要說的？

(原始評論)
Supermarket with friendly service and the things you need, what else to say?",10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,5,3 個月前,"(由 Google 提供翻譯) 位置很方便

(原始評論)
位置很方便",10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,5,3 個月前,"(由 Google 提供翻譯) 員工不錯

(原始評論)
Nice staff",10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,5,3 個月前,,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,4,3 個月前,,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,4,3 個月前,寬敞，是高級的全聯。服務態度比別家的全聯好。,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,1,4 個月前,"(由 Google 提供翻譯) 這家商店的客戶服務欠佳，恐怕這種行為在台灣商人中並不罕見。

在這家商店一次，我不小心掉了一瓶昂貴的洗衣粉。脆弱的蓋子破裂了，其中的一些物品溢出了。商店讓我買了瓶子，要退款，我不得不聯繫洗滌劑製造商，後者又聯繫了Pxmart HQ。製造商表示，通常會向商店賠償此類破損，並且商店不應強迫我購買包裝有缺陷或無彈性的產品。 …",10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,3,4 個月前,購物走道上放了許多罐頭飲料，影響走路的流暢,10656台北市大安區仁愛路三段24巷12號號1樓
全聯福利中心Pxmart 大安民榮,2021-01-26,4,4 個月前,,10656台北市大安區仁愛路三段24巷12號號1樓
