Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 大安永康,2021-01-26,4,1 天前,,10651台北市大安區永康街7巷6號1號樓、B1
全聯福利中心Pxmart 大安永康,2021-01-26,5,3 天前,每週牛奶採購地。,10651台北市大安區永康街7巷6號1號樓、B1
全聯福利中心Pxmart 大安永康,2021-01-26,4,4 天前,,10651台北市大安區永康街7巷6號1號樓、B1
全聯福利中心Pxmart 大安永康,2021-01-26,4,6 天前,"(由 Google 提供翻譯) 它位於主要街道的後面。
遊客很少。這也是當地的超級市場和充滿當地情調的地方，您可以在這里為遊客購買小紀念品^ ^

(原始評論)
表通りから一筋奥に入った所に有ります。
観光客は殆ど居ません。地元のスーパーでもあり観光客のちょっとしたお土産も買える地元感いっぱいの所です^ ^",10651台北市大安區永康街7巷6號1號樓、B1
全聯福利中心Pxmart 大安永康,2021-01-26,1,1 週前,員工態度很差,10651台北市大安區永康街7巷6號1號樓、B1
全聯福利中心Pxmart 大安永康,2021-01-26,5,2 週前,,10651台北市大安區永康街7巷6號1號樓、B1
全聯福利中心Pxmart 大安永康,2021-01-26,5,2 週前,,10651台北市大安區永康街7巷6號1號樓、B1
全聯福利中心Pxmart 大安永康,2021-01-26,5,2 週前,賣場相較於其他的全聯顯得很小，服務人員的態度也不是那麼的親切，在這個寸土寸金的地方有這樣子賣場已經很感謝了。生活所需的用品大致上都可以買得到,10651台北市大安區永康街7巷6號1號樓、B1
全聯福利中心Pxmart 大安永康,2021-01-26,5,2 週前,,10651台北市大安區永康街7巷6號1號樓、B1
全聯福利中心Pxmart 大安永康,2021-01-26,5,3 週前,,10651台北市大安區永康街7巷6號1號樓、B1
全聯福利中心Pxmart 大安永康,2021-01-26,4,3 週前,,10651台北市大安區永康街7巷6號1號樓、B1
全聯福利中心Pxmart 大安永康,2021-01-26,2,4 週前,,10651台北市大安區永康街7巷6號1號樓、B1
全聯福利中心Pxmart 大安永康,2021-01-26,5,4 週前,,10651台北市大安區永康街7巷6號1號樓、B1
全聯福利中心Pxmart 大安永康,2021-01-26,5,1 個月前,,10651台北市大安區永康街7巷6號1號樓、B1
全聯福利中心Pxmart 大安永康,2021-01-26,2,1 個月前,"(由 Google 提供翻譯) 在小而又擁擠的步行和緊急道路上放置出售的物品。與其他PX市場相比，有限的產品。

(原始評論)
To small, too crowded, walk and emergency ways placed with on-sale items. Compared to other PX markets limited offerings.",10651台北市大安區永康街7巷6號1號樓、B1
全聯福利中心Pxmart 大安永康,2021-01-26,1,1 個月前,"價目表小黃卡都沒正確擺放，
問店員價格也回答不清不楚…
昨天桂冠湯圓有活動問店員湯圓放哪？
他說櫃檯左手邊
到了櫃檯又沒看到湯圓本人說放在後面冷凍區
簡直困惱到不行，
太小間很擠動線有很差標示不清楚，
店員也都不專業⋯⋯",10651台北市大安區永康街7巷6號1號樓、B1
全聯福利中心Pxmart 大安永康,2021-01-26,3,1 個月前,店面有點小,10651台北市大安區永康街7巷6號1號樓、B1
全聯福利中心Pxmart 大安永康,2021-01-26,4,1 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",10651台北市大安區永康街7巷6號1號樓、B1
全聯福利中心Pxmart 大安永康,2021-01-26,3,1 個月前,空間狹小,10651台北市大安區永康街7巷6號1號樓、B1
全聯福利中心Pxmart 大安永康,2021-01-26,1,1 個月前,,10651台北市大安區永康街7巷6號1號樓、B1
全聯福利中心Pxmart 大安永康,2021-01-26,1,1 個月前,小，擠，肉類少，内有窄梯下地下樓，很有壓迫感，結帳台常只一個，得排長隊等。,10651台北市大安區永康街7巷6號1號樓、B1
全聯福利中心Pxmart 大安永康,2021-01-26,3,1 個月前,,10651台北市大安區永康街7巷6號1號樓、B1
