Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 大安泰順,2021-01-26,4,5 天前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,6 天前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,6 天前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,1 週前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,1 週前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,2 週前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,2 週前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,3,2 週前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,2 週前,我不知道為什麼台灣的超市裡面的網路信號不好,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,2 週前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,3,2 週前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,3,2 週前,"很糟，預購咖啡
每次去都故障，很久了
不知道花錢買到了什麼，除了火氣",10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,3 週前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,3 週前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,3 週前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,3,3 週前,方便，有些東西是有較便宜一點點,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,3,4 週前,還可以,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,4 週前,最喜歡的全聯,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,1 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,1 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,2,1 個月前,人太多 商場太小 結帳員不足,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,1 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,1 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,3,1 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,1 個月前,"(由 Google 提供翻譯) 很好

(原始評論)
很好",10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,1 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,1 個月前,"各種吃的喝的煮的用的物品種類齊全，例如雞蛋品牌多達十餘種價格選擇性也多（從一盒10顆$40到一盒$90的都有），我總是挑最便宜的，反正營養差不多。

生鮮冷藏和冷凍的的豬肉、雞肉、牛肉、魚肉⋯也都有許多選擇價格也合理、東西也新鮮，酷夏太熱不想去傳統市場暴汗的時候在這邊買也足夠。 …",10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,1 個月前,實在便宜好地方。東西比其他附近的選項多又常特價,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,3,2 個月前,先天環境限制，又位在大社區附近，走道狹窄，人多擁擠,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,2 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,2 個月前,旁邊的711位子很少,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,2,2 個月前,下班時候結帳隊伍排很長,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,2 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,2 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,2 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,3,2 個月前,生鮮商品，來不及到傳統市場，就會在這邊採購。,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,2 個月前,稍嫌擁擠,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,3,2 個月前,"(由 Google 提供翻譯) 生意很好。

(原始評論)
生意很好。",10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,2 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,1,2 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,2 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,3,2 個月前,"剛搬來附近時的購物去處，不過熟悉四周後若時間可以會傾向傳統市場

尖峰時段結帳速度慢",10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,2 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,3 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,3 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,3 個月前,"我覺得這裡超讚的

而且店員人超棒的
都很細心的講解

這裡賣的花都常常有更新 比如說滿天星
或者是百合花
玫瑰花 紫藤花等等
我覺得超漂亮的

每次一進店裡面都覺得心情超開心的

此外結帳的店員都很熱心

雖然說有一些店員我並沒有很喜歡

但是基本上
總體而言的服務員好的是蠻好的

我覺得蠻特別的是原來有一些花蠻像玫瑰花的
但實際上他不是
哈哈哈～ 所提供的照片 提供的這個
就是我說有點難辨別的花～
不過仔細看還是不一樣啦！～原來他叫洋佶花

跟玫瑰比起來 …",10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,3 個月前,好買,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,3 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,3,3 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,3 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,3 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,3 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,3 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,3,3 個月前,從Jason 改成全聯 檔次好像(低)或說平易近人了？,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,3 個月前,買東西方便,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,3,3 個月前,最賺錢的連鎖店,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,3 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,3 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,3 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,3 個月前,巷弄裡的好朋友，東西種類很多,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,3 個月前,"(由 Google 提供翻譯) 只是另一個PX Mart超市。購買許多東西，食物，小吃，雜貨的好地方。您可以以實惠的價格找到幾乎所有您需要的東西。它比我去過附近的其他PX Mart要小。

它非常擁擠，有大量的客戶，通常需要排隊等候，排隊等候很長。
商店門前停著許多機車，擋住了入口和出口。

但是，總的來說，它像往常一樣非常方便，優質的產品和優質的服務以及實惠的價格。

(原始評論)
Just another PX Mart supermarket. Good place …",10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,4 個月前,服務不錯，但生鮮類的價格偏貴,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,3,4 個月前,衹是取杯咖啡服務員很親切不錯的一家店,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,4 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,4 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,3,4 個月前,貨架上的標示與結帳時電腦價格偶有不一致的情況。,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,4 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,4 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,4 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,4 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,1,4 個月前,"東西很多很方便買
但是！
已經發生兩次以下狀況：
明明買6折商品，結帳時提醒店員有打折，店員說有的刷完條碼就會自動打折（但我記得明明就要特別刷一個6折條碼）
最後結帳還是算原價的狀況！
覺得員工結帳部分的訓練還待加強！
不會再去了",10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,4 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,4 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,1,4 個月前,收銀小姐很不耐煩，口氣很不好，瞧不起用敬老卡刷。,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,3,4 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,5 個月前,有咖啡的販賣，及蔬果的質量不錯。,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,1,5 個月前,"貨品種類沒頂好超市多樣化，衛生棉竟比屈臣氏還要貴些！有麵包坊！店門口常常停著機車，有階梯得小心走！有熱蒸的包子，饅頭呢～但是種類不多，空了也不補貨！結帳態度沒有頂好超市客氣的！
昨天早上來買3樣物品不到$100元，收銀員卻說200多元，有些心不焉，把上一個結帳金額當做是我的欸",10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,5 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,5 個月前,東西很多且方便。,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,5 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,5 個月前,賣場大，品項多，因客人較多，結帳時常需排隊等候。,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,5,5 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,3,5 個月前,,10645台北市大安區泰順街45號號1樓
全聯福利中心Pxmart 大安泰順,2021-01-26,4,5 個月前,明亮清潔又清楚的購物場。,10645台北市大安區泰順街45號號1樓
