Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 文山景美,2021-01-26,4,19 小時前,新大樓 購物環境很舒適 …,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,3,4 天前,位於地下室，出入不甚方便,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,3,1 週前,,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,1,1 週前,結帳服務態度極差，因很久沒在全聯購物不知沒辦法報電話累積點數，詢問下載App時態度非常不好，現場也沒放相關Qr讓客人掃描，其實只要一句可以到哪裡下載就解決問題，店員還跟隔壁的使眼色，請問客人不知道錯了嗎？麻煩檢討與改進...各行各業上班皆辛苦，難得早下班買菜卻被這樣對待，以後也會考慮是否去購物...地下樓層沒電梯也不方便進出...,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,5,2 週前,,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,4,2 週前,,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,5,3 週前,,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,5,3 週前,昨天遇到的兩位年輕店員服務態度很好👍接近收銀台時兩位都面帶笑容準備幫忙結帳，結帳過程也迅速流暢！,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,5,3 週前,捷運站出口，方便,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,3,3 週前,,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,4,3 週前,,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,5,4 週前,服務態度好,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,4,4 週前,,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,1,1 個月前,態度不佳,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,5,1 個月前,,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,4,1 個月前,,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,5,1 個月前,日常購物的好去處！,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,5,1 個月前,在捷運出口旁邊很方便,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,5,1 個月前,,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,5,1 個月前,全聯一般服務態度都不錯，來購物雖然物品多與複雜，但當找不到的東西，服務人員會帶到你想購的物品，笑容接待無怨言，真的很讓人感受到購物者的溫馨，值得五顆星之讚*****！,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,4,1 個月前,,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,3,1 個月前,購物方便好鄰居,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,5,2 個月前,,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,5,2 個月前,"(由 Google 提供翻譯) 下樓梯時，請務必小心

(原始評論)
ketika turun tangga harus berhati2",11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,2,2 個月前,11/21晚上的男店員態度有待加強⋯,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,5,2 個月前,服務很親切,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,4,2 個月前,,11674台北市文山區羅斯福路六段218號B1
全聯福利中心Pxmart 文山景美,2021-01-26,4,2 個月前,購物地點方便，捷運可到（景美國中），可惜附近沒有配合的停車場。,11674台北市文山區羅斯福路六段218號B1
