Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,14 小時前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,1 天前,可愛的店員，親切的態度，最喜歡這家的全聯,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,3 ,1 天前,好鄰居,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,2 天前,我前天才去全聯買東西很好。,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,4 天前,黃豆芽不錯！,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,3 ,4 天前,櫃檯小姐結帳很厭世,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,1 週前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,1 週前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,1 週前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,2 週前,就是全聯。,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,3 週前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,2 ,1 個月前,服務態度不是很好,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,2 ,1 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,1 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,1 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,1 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,1 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,1 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,1 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,2 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,2 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,3 ,2 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,2 個月前,"服務不錯,可惜沒招牌",10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,2 個月前,服務人員態度很好,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,2 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,2 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,2 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,3 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,3 個月前,小姐服務親切,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,3 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,3 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,3 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,3 ,3 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,3 ,3 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,4 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,4 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,4 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,3 ,4 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,4 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,3 ,5 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,5 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,5 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,5 個月前,離家近,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,6 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,6 個月前,能購買生鮮飲品超市,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,3 ,6 個月前,價格便宜,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,6 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,6 個月前,產品很多,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,6 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,3 ,6 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,6 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,6 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,6 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,7 個月前,商品齊全 服務親切,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,7 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,7 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,7 個月前,早上7：30開始營業，送小孩上學後直接來補貨，很方便。賣場雖小但精實，一般食材都買得到。,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,7 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,7 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,7 個月前,東西在全聯裡有少一點,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,8 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,8 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,8 個月前,離家最近的全聯，買商品很方便，省時又省力。,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,9 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,9 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,9 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,2 ,10 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,10 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,3 ,10 個月前,不錯,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,1 ,10 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,10 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,2 ,10 個月前,東西沒有很多，補貨也太慢，架上空,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,3 ,10 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,10 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,10 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,2 ,10 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,10 個月前,便利的好鄰居,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,11 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,11 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,11 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,11 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,3 ,11 個月前,社區型式經營。服務里民方便採購,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,3 ,11 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,3 ,11 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,11 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,11 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,11 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,3 ,11 個月前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,11 個月前,方便的 生活食品 社區福利站,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,1 年前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,1 年前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,1 年前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,1 年前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,1 年前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,1 年前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,1 年前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,1 年前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,1 年前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,1 年前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,1 年前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,1 年前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,1 年前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,1 年前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,1 年前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,2 ,1 年前,感覺空間很密,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,1 年前,社區福利社.品相充足.收銀櫃檯人力皆能隨機支援.減少排隊結帳時間。,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,1 年前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,1 年前,小資的最愛，常常有商品特價,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,4 ,1 年前,店員很親切,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,2 ,1 年前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,1 年前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,1 年前,買東西,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,1 年前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,1 ,1 年前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,1 年前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,3 ,1 年前,,10863台北市萬華區民和街103號
全聯福利中心Pxmart 文山景興,2021-01-26,5 ,1 年前,,10863台北市萬華區民和街103號
