Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 文山木柵,2021-01-26,2 ,16 小時前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,1 ,6 天前,看得到商品(刮鬍刀片)，卻上鎖，不給買，很奇怪,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,3 ,1 週前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,3 ,1 週前,開車的話停車位不好找，只能停付費停車場,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,4 ,1 週前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,4 ,1 週前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,4 ,2 週前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,4 ,2 週前,路過一個庫存貨糧！,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,3 ,3 週前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,5 ,3 週前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,4 ,3 週前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,3 ,4 週前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,5 ,4 週前,👍👍,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,4 ,1 個月前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,5 ,1 個月前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,3 ,1 個月前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,4 ,1 個月前,方便的好鄰居,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,3 ,1 個月前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,4 ,1 個月前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,5 ,1 個月前,物美價廉，尤其是那句「請支援收銀」格外令人感受到親切，冬天週末的夜晚，仍努力不懈的工作著。而今晚我也去了全聯買了好吃的梅花豬跟火鍋料，搭配李錦記的麻辣鍋上湯及四川大紅袍麻辣醬，在這寒冷的夜裡吃著火鍋，溫飽了我寒冷受凍的五臟廟，感謝最貼心的好鄰居，「全聯福利中心」😊,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,2 ,1 個月前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,5 ,1 個月前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,4 ,1 個月前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,5 ,1 個月前,好買又便宜,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,5 ,1 個月前,這間店上下樓層，東西齊全,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,4 ,1 個月前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,5 ,1 個月前,我最喜歡的全聯，結帳快,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,5 ,2 個月前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,4 ,2 個月前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,4 ,2 個月前,產品多,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,4 ,2 個月前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,3 ,2 個月前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,4 ,2 個月前,,11161台北市士林區大南路315號
全聯福利中心Pxmart 文山木柵,2021-01-26,1 ,2 個月前,11/5號 晚班結帳的服務員（男）晚上 10:30 左右還摔掃描條碼的機器呢 不爽可以說啊,11161台北市士林區大南路315號
