Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 文山永建,2021-01-26,4 ,2 天前,"方便找東西的地方
天花板不太高 有點壓迫感",11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,4 ,4 天前,,11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,3 ,2 週前,位置方便但東西較少,11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,3 ,3 週前,小型店，店內空間不足，品類較不齊全,11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,2 ,1 個月前,為何用pxpay讓消費者等更長的時間結帳，如堅持用pxpay麻煩先教育用pxpay的消費者先把手機設定好掃描碼先預備好，不是到結帳櫃台時再來慢慢找，不要把消費者的時間浪費掉好嗎,11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,5 ,1 個月前,五分社區的採買點，缺點大概是在地下室對於行走不方便的人或是下雨天的行人要多注意些,11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,5 ,1 個月前,,11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,5 ,1 個月前,,11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,3 ,1 個月前,,11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,3 ,1 個月前,,11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,3 ,2 個月前,,11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,4 ,2 個月前,,11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,5 ,2 個月前,,11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,3 ,2 個月前,服務親切！惜賣場稍小品項略不足,11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,5 ,2 個月前,,11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,5 ,2 個月前,,11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,5 ,2 個月前,,11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,3 ,2 個月前,,11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,4 ,2 個月前,人較少比較好逛,11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,4 ,3 個月前,,11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,5 ,3 個月前,,11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,5 ,3 個月前,,11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,4 ,3 個月前,,11487台北市內湖區東湖路33巷19號B1
全聯福利中心Pxmart 文山永建,2021-01-26,4 ,3 個月前,,11487台北市內湖區東湖路33巷19號B1
