Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 文山福興,2021-01-26,4 ,1 個月前,有賣烤地瓜 雖說是mini但小而美,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,5 ,1 個月前,店內真的很mini，算是去過的全聯店家裡，小而美的一家店。不過基本的生鮮食品還是有的，也有提供咖啡機的服務。缺點就是生活用品的選擇較少，還是得跑一般的生活雜貨店選購。,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,5 ,2 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,5 ,3 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,5 ,3 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,4 ,3 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,5 ,3 個月前,新開約1年多的小型店，新穎明亮。與其他全聯相比較大的差異，是員工態度友善。,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,4 ,3 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,5 ,4 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,3 ,4 個月前,機車車位少，而且附近有檢舉達人專門抓格子外的,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,1 ,4 個月前,明明就沒客人 店員不知道在急什麼 也不問有沒有會員 也不主動給集點貼紙,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,4 ,5 個月前,冷氣冷到不行阿!!! 建議穿羽絨衣去逛…,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,1 ,5 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,4 ,5 個月前,社區居民採購方便,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,4 ,5 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,5 ,5 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,4 ,5 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,3 ,6 個月前,可能是mini的原因，所以，東西種類比較少，但是，應急應該是OK的,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,5 ,6 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,5 ,6 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,4 ,6 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,4 ,6 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,3 ,6 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,5 ,6 個月前,便利性不下超商 但選擇性更高,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,4 ,7 個月前,麻雀雖小五臟俱全,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,5 ,7 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,4 ,7 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,3 ,7 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,5 ,7 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,5 ,10 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,4 ,10 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,3 ,10 個月前,"空間不大，物品齊全，冷氣夠強，
制式管理，惟難停車!",110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,4 ,10 個月前,方便的全聯，騎車好停....,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,5 ,11 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,5 ,11 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,5 ,11 個月前,購買生鮮蔬果、、點心、麵包餅乾、泡麵、飲料」，生活用品、清潔用品的好去處。,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,3 ,11 個月前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,3 ,1 年前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,4 ,1 年前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,5 ,1 年前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,3 ,1 年前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,2 ,1 年前,店員口齒不清說62元，我聽成60元，給他110元，找給我一堆零錢，我說你沒有50元嗎？也不理人，我後面又沒人排隊，為什麼不能好好說？急什麼急？,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,5 ,1 年前,Mini型全聯超市，但應有盡有，還有現烤麵包，缺點是不好停車,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,3 ,1 年前,"這是全聯的輕超市，規模不大，但是看來附近的居民的需求是比較複雜一點，所以我看到有現烤麵包的櫥櫃，而且櫥櫃的面積不算小，也有現煮咖啡的咖啡機。

我特地去放礦泉水的區域去找800cc左右的鹼性離子礦泉水，這家沒賣，品項是比一般的全聯超市要少一點。昨天我在黎忠店就買到味丹850cc的離子礦泉水。",110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,5 ,1 年前,,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,4 ,1 年前,門市小，但很方便，早上7點開到晚上11點，營業時間較一般全聯長，生意頗好，唯獨停車位子少，馬路車多，後門僅可入不可出。,110台北市信義區信安街114號
全聯福利中心Pxmart 文山福興,2021-01-26,5 ,1 年前,,110台北市信義區信安街114號
