Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,4 天前,就是全聯,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,1 週前,價廉物美 服務親切,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,1 週前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,1 週前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,1 週前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,1 週前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,3 ,2 週前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,2 週前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,3 ,2 週前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,1 ,3 週前,不爽跨年夜工作就別作，找錢丟我手掌還嘆氣是怎樣？,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,3 週前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,3 週前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,3 週前,方便採購的好地方,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,1 ,1 個月前,"疫情管制期間，至少五名中老年男子沒有佩戴口罩在店內逛，沒有一個員工在規勸甚至有名結帳人員有還在櫃檯前與其中一名中年男子交談，完全沒有要勸導的意願
極其糟糕的管理制度不建議前往",10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,1 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,1 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,1 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,1 個月前,服務品質很好很親切,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,3 ,1 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,1 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,1 個月前,義美的豆漿很好喝,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,3 ,1 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,1 個月前,方便購物，只是很少聽到請支援櫃台,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,1 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,2 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,2 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,1 ,2 個月前,門口常常有銀行業務員打擾、都說不辦了、還追著跑、傻眼,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,2 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,3 ,2 個月前,這間店很怪...常常下午去...像是颱風過後被掃貨的感覺...泡麵餅乾有夠空的,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,2 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,2 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,3 ,2 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,3 ,2 個月前,就是全聯，以全聯系統來看算是中型店,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,2 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,2 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,2 個月前,離我最近的全聯,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,2 ,2 個月前,"不要看這間全聯很大間
生鮮食品架上常常缺貨.......
而且店員的態度真的不是很好
消費過快十次
幾乎每次遇到的店員都臭臉",10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,2 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,3 ,2 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,3 個月前,空間可以，行銷產品中規中矩，服務也OK的全聯。,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,2 ,3 個月前,普通  談不上不喜歡,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,3 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,3 ,3 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,3 個月前,方便社區居民的採購.價位也親民！,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,3 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,3 ,3 個月前,所售產品種類多排列易選購，服務佳(如選購不符規格，亦可退換)。,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,3 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,3 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,3 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,3 個月前,全聯真的是台灣主婦的好幫手。,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,3 個月前,"(由 Google 提供翻譯) 您每天想要的所有東西都在這裡。

(原始評論)
Everything you want daily you got it here.",10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,4 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,4 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,4 個月前,貨色多，齊全。,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,3 ,4 個月前,地點方便,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,3 ,4 個月前,很多品項在這邊找不到，陳列還能更好⋯⋯肉品補貨時間似乎在下午，上午去採買常常沒辦法買齊全😅,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,3 ,4 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,3 ,4 個月前,連鎖超市有時客人多結帳慢也不會呼叫(支援)已經被我提醒二次了！,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,4 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,4 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,4 個月前,"水果區常常會有驚豔,時常常會來這尋寶!!",10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,4 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,3 ,4 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,3 ,4 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,4 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,5 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,5 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,5 個月前,讚,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,5 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,5 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,5 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,5 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,5 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,6 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,2 ,6 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,3 ,6 個月前,方便購物，經濟實惠！,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,3 ,6 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,6 個月前,一貫水準,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,6 個月前,上傳完成,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,6 個月前,方便採購重點離家近,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,7 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,7 個月前,連鎖店，便於採購生活雜貨。,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,1 ,7 個月前,貨物齊全,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,7 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,7 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,7 個月前,買東西方便，整體很乾淨，唯一遺憾的是收銀員很慢，,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,7 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,4 ,7 個月前,東西齊全好停車,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,7 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,5 ,7 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,2 ,8 個月前,店員不理人，賣的品項又少,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,2 ,8 個月前,,10470台北市中山區吉林路413號號1樓
全聯福利中心Pxmart 文山羅斯福,2021-01-26,3 ,8 個月前,,10470台北市中山區吉林路413號號1樓
