Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 文山興隆,2021-01-26,4 ,2 小時前,,11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,5 ,15 小時前,環境不錯，這裡早晨研究所上班着來購物的人，非常便利，研究院宿舍就在對面巷口。,11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,3 ,1 天前,,11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,4 ,3 天前,,11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,5 ,4 天前,,11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,3 ,4 天前,,11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,5 ,5 天前,,11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,3 ,5 天前,離我家超近~偶爾會去買些東西,11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,4 ,5 天前,很好買的地方，店員很親切,11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,4 ,2 週前,,11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,3 ,2 週前,,11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,5 ,2 週前,,11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,4 ,2 週前,,11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,1 ,2 週前,"小心停車場會拉下鐵門,把人跟車關在裡面(2021/1/7上午十點左右)
大樓主委鬧糾紛,全聯的客人會被關在地下室,只放住戶出去",11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,5 ,3 週前,,11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,1 ,3 週前,"價格都異常貴，大蒜""一小包""108元
好市多的西班牙大蒜""四包""108元",11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,5 ,3 週前,,11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,4 ,4 週前,,11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,3 ,4 週前,只要買超過三樣日用品，就會想到過來這兒消費。,11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,2 ,4 週前,,11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,5 ,1 個月前,,11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,3 ,1 個月前,,11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,5 ,1 個月前,,11565台北市南港區研究院路二段61巷15號1號樓、B1
全聯福利中心Pxmart 文山興隆,2021-01-26,5 ,1 個月前,,11565台北市南港區研究院路二段61巷15號1號樓、B1
