Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 文山辛亥,2021-01-26,5 ,16 小時前,,11690台北市文山區興隆路二段252號號1樓
全聯福利中心Pxmart 文山辛亥,2021-01-26,3 ,2 天前,"2021/1/23 晚間，從進入賣場就注意到一位晚班年輕男店員的口罩都是戴在”下巴“，即使店內廣播重複提醒進入賣場者都要全程配戴口罩，或經我提醒也無動於衷。
其實也有少數人進入賣場不戴口罩，但店員待的時間長，接觸的人多，風險當然相對高出很多，更應該全程配戴，保護自己也保護他人。

店員和善，商品產品種類很多。
陳列順序有大改過，若找不到建議問店員。
客人有愈來愈多的趨勢，本來機車大多只會停一排，現在都會停到二排，甚至停到行人停等紅綠燈的地方，還好大都不會停留太久。",11690台北市文山區興隆路二段252號號1樓
全聯福利中心Pxmart 文山辛亥,2021-01-26,1 ,2 天前,"年輕的服務人員
態度差 沒熱忱
掃瞄器用摔的
連謝謝都不會說
最後還忘了消磁
專業度在哪？
現在的年輕人都這麼沒熱情嗎？",11690台北市文山區興隆路二段252號號1樓
全聯福利中心Pxmart 文山辛亥,2021-01-26,5 ,4 天前,貨品充足價格平民店員很和善,11690台北市文山區興隆路二段252號號1樓
全聯福利中心Pxmart 文山辛亥,2021-01-26,5 ,4 天前,"(由 Google 提供翻譯) 好逛

(原始評論)
好逛",11690台北市文山區興隆路二段252號號1樓
全聯福利中心Pxmart 文山辛亥,2021-01-26,5 ,4 天前,方便的好鄰居,11690台北市文山區興隆路二段252號號1樓
全聯福利中心Pxmart 文山辛亥,2021-01-26,4 ,5 天前,結帳快速！希望生鮮的種類多一些,11690台北市文山區興隆路二段252號號1樓
全聯福利中心Pxmart 文山辛亥,2021-01-26,5 ,5 天前,,11690台北市文山區興隆路二段252號號1樓
全聯福利中心Pxmart 文山辛亥,2021-01-26,1 ,6 天前,大前天晚上值班一個年輕女生態度有夠差，好像我欠她錢似的臉超臭，講話也很沒禮貌，真的不懂為什麼會請這樣沒禮貌的工讀生。,11690台北市文山區興隆路二段252號號1樓
全聯福利中心Pxmart 文山辛亥,2021-01-26,5 ,1 週前,麻雀雖小五臟俱全,11690台北市文山區興隆路二段252號號1樓
全聯福利中心Pxmart 文山辛亥,2021-01-26,5 ,1 週前,,11690台北市文山區興隆路二段252號號1樓
