Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 文山順興,2021-01-26,5 ,1 天前,東西多，什麼都買得到,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,4 ,1 週前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,5 ,1 週前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,4 ,2 週前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,4 ,3 週前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,5 ,3 週前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,5 ,3 週前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,3 ,3 週前,打折是否可以更換標籤，已經不只一次要提醒結帳員這個商品有打折了，現在不看價格真的很容易直接被店員給乎弄,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,4 ,4 週前,樣品齊全-服務不錯,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,4 ,1 個月前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,5 ,1 個月前,不想找東西 詢問服務好的店員 馬上可以節省時間,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,4 ,1 個月前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,3 ,1 個月前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,3 ,1 個月前,"(由 Google 提供翻譯) 方便的便利店

(原始評論)
方便的便利店",10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,4 ,1 個月前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,4 ,1 個月前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,3 ,2 個月前,結完帳要小心階梯出店門,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,4 ,2 個月前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,5 ,2 個月前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,4 ,2 個月前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,4 ,2 個月前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,5 ,2 個月前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,3 ,2 個月前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,3 ,2 個月前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,3 ,2 個月前,結帳速度慢,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,4 ,2 個月前,生活日常用品眾多，走一趟即可買齊。,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,5 ,2 個月前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,4 ,2 個月前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,5 ,2 個月前,生鮮超市 家庭用品 都有,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,5 ,2 個月前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,4 ,3 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,5 ,3 個月前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,5 ,3 個月前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,3 ,3 個月前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,2 ,3 個月前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,5 ,3 個月前,,10464台北市中山區北安路655號B1
全聯福利中心Pxmart 文山順興,2021-01-26,5 ,3 個月前,,10464台北市中山區北安路655號B1
