Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 木新,2021-01-26,3 ,2 天前,服務親切,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,4 ,2 天前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,6 天前,乾淨，明亮,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,3 ,2 週前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,2 ,3 週前,"有一個比較年輕的女員工態度很糟糕
臉臭的像我欠她錢一樣
偏偏常常只有她負責結帳🙄
其他的店員都很親切",11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,4 ,3 週前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,4 ,3 週前,社會區的好夥伴。,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,4 ,3 週前,購物、停車方便,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,4 週前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,1 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,3 ,1 個月前,這間的商品的種類太少，尤其是冰品，除了哈根達斯外，其他品牌的幾乎都快沒有了,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,1 個月前,好停車。購物場所寬廠,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,1 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,1 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,1 個月前,環境舒適,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,2 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,3 ,2 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,2 個月前,想買的都買到了，沒理由不給5星,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,2 個月前,自從延遲到11點關門，我都會在這之前趕回去買東西不錯喔~,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,3 ,2 個月前,燈光明亮,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,4 ,2 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,2 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,3 ,2 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,4 ,3 個月前,方便，多樣化選擇,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,4 ,3 個月前,有地下停車場方便購物。,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,4 ,3 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,3 ,3 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,3 個月前,"(由 Google 提供翻譯) 很好

(原始評論)
很好",11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,3 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,4 ,3 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,3 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,4 ,4 個月前,全聯就是好買,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,4 個月前,"(由 Google 提供翻譯) 每當我厭倦並想要養活自己時，PX Mart仍然是我最喜歡的目的地

(原始評論)
PX Mart remain my favorite destination whenever i get tired and wanna feed my self",11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,4 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,4 個月前,好停車,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,4 個月前,店經理漂亮，人員服務品質佳,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,5 個月前,買東西很方便,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,5 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,4 ,5 個月前,動線優擺放清楚服務親切,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,5 個月前,全聯福利中心是方便的好鄰居,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,5 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,5 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,5 個月前,"(由 Google 提供翻譯) Linguin地區便利的超級市場。您可以在這裡使用日常所需的幾乎所有物品，例如雜貨，肉，蔬菜，酒和家庭需求。

(原始評論)
Convenient super market in Linguin area. Almost every thing required for your daily use like grocery,meat, vegetable, liquor and home needs is available here.",11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,4 ,6 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,6 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,4 ,6 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,6 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,6 個月前,我家冰箱在全聯🛒,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,6 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,4 ,6 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,6 個月前,有賣現磨現煮咖啡了，棒棒噠。,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,6 個月前,下班後，就順路去購物點,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,6 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,4 ,6 個月前,服務人員親切熱心，環境整潔舒適，非常適合輕鬆購物~,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,4 ,6 個月前,假日停車方便,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,4 ,7 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,3 ,7 個月前,小小的，東西不齊全，店員的服務態度倒是不錯，婆婆媽媽很熱心,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,7 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,3 ,7 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,4 ,7 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,4 ,8 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,3 ,8 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,1 ,8 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,3 ,8 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,4 ,8 個月前,"老是買不到瑞穗蘋果牛奶 Orz
補貨給人的感覺像是撿其他全聯剩下的貨的感覺",11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,3 ,8 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,5 ,9 個月前,,11581台北市南港區研究院路三段68巷9號
全聯福利中心Pxmart 木新,2021-01-26,4 ,10 個月前,,11581台北市南港區研究院路三段68巷9號
