Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 松山三民,2021-01-26,5 ,1 週前,,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,3 ,1 週前,走道非常擁擠,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,3 ,1 週前,.服務不是很好。,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,4 ,2 週前,,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,3 ,2 週前,,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,5 ,2 週前,,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,4 ,2 週前,,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,3 ,2 週前,,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,5 ,4 週前,,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,3 ,4 週前,,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,4 ,4 週前,地點適中，貨品較多，價格公道，服務親切。,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,5 ,1 個月前,,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,4 ,1 個月前,,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,5 ,1 個月前,,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,4 ,1 個月前,,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,4 ,1 個月前,,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,4 ,1 個月前,,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,5 ,1 個月前,,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,5 ,1 個月前,,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,4 ,1 個月前,以前門口賣膏藥的滾了以後 乾淨一點了,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,4 ,1 個月前,,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,4 ,1 個月前,,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,5 ,1 個月前,"(由 Google 提供翻譯) 好逛

(原始評論)
好逛",10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,3 ,1 個月前,,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,4 ,1 個月前,,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,1 ,1 個月前,"結帳時排隊被其他客人插隊結帳，負責收銀台的人員不但沒有制止也沒有說任何話。
負責收銀台的就只有一位女生，留著長長捲頭髮的。",10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,1 ,1 個月前,店員常常算錯錢、找錯錢，員工訓練感覺很糟糕；奇怪的顧客也很多，很愛插隊，講了也假裝沒聽到！,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,5 ,1 個月前,服務好離家近，方便補貨,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,5 ,2 個月前,,10853台北市萬華區廣州街263號
全聯福利中心Pxmart 松山三民,2021-01-26,4 ,2 個月前,,10853台北市萬華區廣州街263號
