Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,17 小時前,"#這裡有免費的無線網路同學們的最愛
#附近國中小和補習班同學最愛來的地方
#晚上常有特價打折品可以來撿好康
#這四隻很難買",10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,1 週前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,1 週前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,1 週前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,1 週前,"台北小南門，全聯福利中心

下班全聯來逛逛
滷味小菜一級棒
發現啤酒新口味
各帶一瓶回家嚐",10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,1 週前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,1 週前,有便當~加分,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,1 週前,"東西很齊全,比一般全聯品項更多,還有便當！",10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,1 週前,"(由 Google 提供翻譯) 不錯，但是很小，而且小人群擁擠

(原始評論)
Nice but small and a lil crowded",10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,2 週前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,2 週前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,2 週前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,3 週前,店內  裝潢顏色.。令人放心.。,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,3 ,1 個月前,"小號的全聯
方便購物（東西沒有很齊全）",10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,1 個月前,"(由 Google 提供翻譯) 一杯新台幣60.0元的咖啡和麵包，讓您在店里呆了很長時間。

(原始評論)
a small cup of coffee and a bread at TWD 60.0 let you stay and sit in the store for as long as you may wish.",10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,1 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,1 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,3 ,1 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,1 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,1 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,1 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,1 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,3 ,1 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,1 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,3 ,1 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,1 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,1 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,2 ,1 個月前,標價亂七八糟，特價品經常不齊全。時常在請支援收銀。有待大力加強。,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,2 個月前,週邊有和平醫院、莒光加油站，探病可以先在此購得水果。附近的生活機能還算不錯，早午晚餐都有，從延平南路153號到全聯189號幾乎都是賣吃的， 連區段裡頭的巷弄也是賣吃的較多，不管是吃麵吃飯，聚餐川菜都很方便。,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,2 個月前,服務佳，顧客有需要幫忙會熱情協助👍,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,2 個月前,"這間開在台北市立和平醫院附近…很方便
店內空間明亮寬敞舒適…商品種類非常多",10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,2 個月前,"(由 Google 提供翻譯) 自動取款機

(原始評論)
ATM",10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,2 個月前,環境乾淨寬敞。,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,1 ,2 個月前,店員服務態度很差,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,1 ,2 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,2 個月前,交通方便，近植物園！,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,3 ,2 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,2 個月前,女性店員人很好，男性就要看人。下班時間人很多,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,2 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,2 個月前,"(由 Google 提供翻譯) 很棒

(原始評論)
很棒",10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,2 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,3 ,2 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,2 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,2 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,3 個月前,旁邊有台灣聯通可以停車 很方便,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,3 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,3 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,3 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,1 ,3 個月前,有一個年紀比較大的男店員服務態度很差,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,3 個月前,東西齊全,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,3 個月前,家用食料。食材。的百貨商場,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,3 個月前,麻雀雖小，五臟俱全,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,4 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,4 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,1 ,4 個月前,"昨晚2030時間，
明明已經先結帳前面一位客人，在後面等待，結果結帳完後，繼續補貨，
然後很資深的樣子跟對面的櫃檯同事叫他通知支援櫃檯什麼鬼的。

整個是一個服務態度超差",10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,4 個月前,少數有賣便當的分店，便當不錯吃。,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,4 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,4 個月前,讚,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,4 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,3 ,4 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,4 個月前,購物方便好地方,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,4 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,4 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,3 ,4 個月前,中大型店！很容易缺貨！,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,4 個月前,"因為中元普渡的關係向貴店訂購了一些貨品
到店裡取貨時員工很貼心的還幫忙搬上車
覺得很棒",10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,5 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,1 ,5 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,5 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,3 ,5 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,5 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,5 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,3 ,5 個月前,8/11，2L零卡可樂一瓶賣43元，家樂福賣32元，超貴的價格難接受，麵包一個30元也是貴！,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,5 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,5 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,5 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,5 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,5 個月前,這家店我個人認為蠻大間的，还有熟食便、麵包。擺放許多生鮮蔬果哦！,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,5 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,3 ,6 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,3 ,6 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,6 個月前,我最愛逛。,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,6 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,6 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,3 ,6 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,6 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,6 個月前,"(由 Google 提供翻譯) 在房子附近，所以購物很重要

(原始評論)
dekat rumah jd strategis buat blanja",10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,6 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,6 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,3 ,6 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,6 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,6 個月前,方便購物的地方,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,6 個月前,收銀 林先生 服務真的好 而且很熱情都會主動幫忙拿重的東西 !,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,6 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,7 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,1 ,7 個月前,6/19店員林育志還沒結帳前就已經告知我要購買袋子，結完帳之後在跟我大眼瞪小眼，不但沒有袋子，還ㄧ直跟我強調我沒有說要袋子，我就再跟他說ㄧ次我要袋子，店員就心不甘情不願的刷了三個袋子，直接丟在我購買的商品上，買了3000元的商品，也不幫忙裝，袋子直接用丟的，全聯員工素質👍👍,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,7 個月前,,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,4 ,7 個月前,不錯,10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,7 個月前,"(由 Google 提供翻譯) 服務好，種類齊全，價格比小七便宜約10-20%

(原始評論)
服务好，种类齐全，价格比小七便宜约10-20%",10065台北市中正區延平南路189號
全聯福利中心Pxmart 松山中崙,2021-01-26,5 ,7 個月前,,10065台北市中正區延平南路189號
