Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 松花,2021-01-26,1 ,6 小時前,服務態度不佳,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,4 ,6 小時前,產品種類還算齊全，因地方面積限制，稍嫌窄小。,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,5 ,17 小時前,,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,4 ,1 天前,,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,3 ,1 天前,,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,3 ,2 天前,"停汽、機車都很不方便，
今年開始會員不能報電話號碼結帳，深感不方便!",11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,5 ,3 天前,,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,5 ,3 天前,,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,3 ,3 天前,,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,4 ,6 天前,,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,5 ,6 天前,,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,1 ,1 週前,今天去全聯，臨時去，沒戴口罩！當然我們沒戴口罩是我們的不對；要結帳時收銀弟弟不給結帳，他說沒戴口罩不能結帳，如果你們真的想這樣實施，請在入口就要花人力攔截告知。已經在內近40分鐘，才不給結帳⋯感覺很差！,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,1 ,1 週前,收銀員態度不佳，觀感不好,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,5 ,1 週前,,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,4 ,2 週前,,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,3 ,2 週前,於明德捷運站2號出口約步行3分鐘，此處設有停車空間，內部空間較為狹小！,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,4 ,3 週前,,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,4 ,3 週前,,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,5 ,3 週前,,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,4 ,3 週前,離家近，便利！,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,5 ,3 週前,,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,4 ,3 週前,,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,5 ,4 週前,,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,5 ,4 週前,,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,5 ,4 週前,,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,1 ,1 個月前,,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,4 ,1 個月前,,11281台北市北投區懷德街3-10號號
全聯福利中心Pxmart 松花,2021-01-26,3 ,1 個月前,,11281台北市北投區懷德街3-10號號
