Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 板橋新埔,2021-01-26,5 ,4 小時前,,22047新北市板橋區光武街61號
全聯福利中心Pxmart 板橋新埔,2021-01-26,5 ,22 小時前,,22047新北市板橋區光武街61號
全聯福利中心Pxmart 板橋新埔,2021-01-26,3 ,1 週前,"(由 Google 提供翻譯) 物品不是很多。

(原始評論)
物品不是很多。",22047新北市板橋區光武街61號
全聯福利中心Pxmart 板橋新埔,2021-01-26,5 ,1 週前,服務人員很熱心...很不錯..！,22047新北市板橋區光武街61號
全聯福利中心Pxmart 板橋新埔,2021-01-26,1 ,2 週前,"爛店
爛店
爛店
叫ubereat
結果店家沒貨也不通知或取消訂單
就隨便出貨
導致我優惠券被莫名其妙的使用掉了
然後訂單還沒折扣
爛
爛
爛
連一顆星都不想給",22047新北市板橋區光武街61號
全聯福利中心Pxmart 板橋新埔,2021-01-26,5 ,2 週前,,22047新北市板橋區光武街61號
全聯福利中心Pxmart 板橋新埔,2021-01-26,3 ,3 週前,,22047新北市板橋區光武街61號
全聯福利中心Pxmart 板橋新埔,2021-01-26,3 ,1 個月前,,22047新北市板橋區光武街61號
全聯福利中心Pxmart 板橋新埔,2021-01-26,5 ,1 個月前,,22047新北市板橋區光武街61號
全聯福利中心Pxmart 板橋新埔,2021-01-26,4 ,1 個月前,,22047新北市板橋區光武街61號
全聯福利中心Pxmart 板橋新埔,2021-01-26,3 ,1 個月前,請支援收銀,22047新北市板橋區光武街61號
全聯福利中心Pxmart 板橋新埔,2021-01-26,5 ,1 個月前,"(由 Google 提供翻譯) 還不錯

(原始評論)
还不错",22047新北市板橋區光武街61號
全聯福利中心Pxmart 板橋新埔,2021-01-26,5 ,2 個月前,寬敞，舒適,22047新北市板橋區光武街61號
全聯福利中心Pxmart 板橋新埔,2021-01-26,1 ,2 個月前,這店裡的經理態度是怎樣 你當個服務業還在哪裡不耐煩 這就算了罵員工還那麼大聲吵到客人 惡心,22047新北市板橋區光武街61號
全聯福利中心Pxmart 板橋新埔,2021-01-26,1 ,2 個月前,,22047新北市板橋區光武街61號
全聯福利中心Pxmart 板橋新埔,2021-01-26,4 ,2 個月前,,22047新北市板橋區光武街61號
全聯福利中心Pxmart 板橋新埔,2021-01-26,5 ,2 個月前,方便的好鄰居，沒有電梯，無法買大批物件,22047新北市板橋區光武街61號
全聯福利中心Pxmart 板橋新埔,2021-01-26,4 ,3 個月前,空間寬敞舒適,22047新北市板橋區光武街61號
全聯福利中心Pxmart 板橋新埔,2021-01-26,5 ,3 個月前,服務熱心,22047新北市板橋區光武街61號
全聯福利中心Pxmart 板橋新埔,2021-01-26,3 ,3 個月前,,22047新北市板橋區光武街61號
全聯福利中心Pxmart 板橋新埔,2021-01-26,4 ,3 個月前,,22047新北市板橋區光武街61號
全聯福利中心Pxmart 板橋新埔,2021-01-26,3 ,3 個月前,,22047新北市板橋區光武街61號
全聯福利中心Pxmart 板橋新埔,2021-01-26,4 ,3 個月前,,22047新北市板橋區光武街61號
