Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 民生社區,2021-01-26,4 ,1 週前,,11658台北市文山區恆光街37號
全聯福利中心Pxmart 民生社區,2021-01-26,3 ,1 週前,,11658台北市文山區恆光街37號
全聯福利中心Pxmart 民生社區,2021-01-26,4 ,2 週前,,11658台北市文山區恆光街37號
全聯福利中心Pxmart 民生社區,2021-01-26,5 ,2 週前,全聯 誰能討厭全聯,11658台北市文山區恆光街37號
全聯福利中心Pxmart 民生社區,2021-01-26,5 ,3 週前,,11658台北市文山區恆光街37號
全聯福利中心Pxmart 民生社區,2021-01-26,5 ,3 週前,,11658台北市文山區恆光街37號
全聯福利中心Pxmart 民生社區,2021-01-26,3 ,3 週前,品種不多,11658台北市文山區恆光街37號
全聯福利中心Pxmart 民生社區,2021-01-26,3 ,3 週前,,11658台北市文山區恆光街37號
全聯福利中心Pxmart 民生社區,2021-01-26,5 ,4 週前,,11658台北市文山區恆光街37號
全聯福利中心Pxmart 民生社區,2021-01-26,4 ,1 個月前,,11658台北市文山區恆光街37號
全聯福利中心Pxmart 民生社區,2021-01-26,3 ,1 個月前,"有一些聯名的東西缺很多或者是賣光了
甚至有一些普通的東西都會缺貨
像我上次去買蜜豆奶竟然有一個口味全部都沒有",11658台北市文山區恆光街37號
全聯福利中心Pxmart 民生社區,2021-01-26,4 ,1 個月前,,11658台北市文山區恆光街37號
全聯福利中心Pxmart 民生社區,2021-01-26,5 ,1 個月前,"(由 Google 提供翻譯) 很棒，很好逛

(原始評論)
很棒，很好逛",11658台北市文山區恆光街37號
全聯福利中心Pxmart 民生社區,2021-01-26,4 ,1 個月前,,11658台北市文山區恆光街37號
全聯福利中心Pxmart 民生社區,2021-01-26,5 ,1 個月前,空間大，可以逛一下。,11658台北市文山區恆光街37號
全聯福利中心Pxmart 民生社區,2021-01-26,4 ,1 個月前,,11658台北市文山區恆光街37號
全聯福利中心Pxmart 民生社區,2021-01-26,5 ,1 個月前,,11658台北市文山區恆光街37號
全聯福利中心Pxmart 民生社區,2021-01-26,5 ,1 個月前,,11658台北市文山區恆光街37號
