Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,1 天前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,2 天前,購物的好地方,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,2 天前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,2 天前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,3 天前,改裝後的空間寬敞，商品的擺設及規劃非常清楚，選擇性也增加許多。,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,4 天前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,5 天前,鄰近公園住宅區的購物商場,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,1 週前,剛裝潢過，到這裡買食材，感覺很清潔！,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,1 週前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,1 週前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,1 週前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,3 週前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,3 週前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,3 週前,新改裝過，店內陳設超喜歡，一洗全聯刻版老舊貨架印象,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,3 ,3 週前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,3 週前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,1 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,1 個月前,裝修之後更好逛,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,1 ,1 個月前,"有個女胖子店員服務態度非常差，我帶著口罩前去詢問東西放在哪，他竟然步步後退，我開口詢問「請問...放在哪裡？」，他手指著一個方向什麼也沒說，我往他指的方向走，沒看見東西，他才在很遠的地方說：「小姐！在你前面你沒看到嗎！」

真的傻眼，沒看過這種服務態度，並不是我態度很差，我也帶著口罩維持安全距離，這種員工對公司真的是傷害！",10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,1 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,1 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,1 個月前,重新裝潢後，感覺變高級了。這家也是這一區唯一的中型超市了。,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,1 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,1 個月前,整潔乾淨,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,1 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,3 ,1 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,1 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,1 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,1 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,1 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,1 個月前,重新裝潢後第一次去購物，熟悉環境中。,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,1 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,1 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,1 個月前,"(由 Google 提供翻譯) 很好很舒服，假日來這兒逛逛買東西看看人潮！東西蠻齊全的。

(原始評論)
很好很舒服，假日来这儿逛逛买东西看看人潮！  东西蛮齐全的。",10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,1 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,1 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,1 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,2 個月前,今中午去了全聯福利中心現該中心正在重新改裝！28日要重新開幕營業走了一圈完全改觀:而且非常有序真的不錯:全聯真的很用心:,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,2 個月前,"(由 Google 提供翻譯) 目前整修中，好期待喔！

(原始評論)
目前整修中，好期待喔！",10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,3 ,2 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,2 個月前,2020/11/28才裝修完成，別撲空,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,2 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,2 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,2 個月前,"購物動線寬,品項足夠 .相當不錯的點",10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,2 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,2 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,2 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,2 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,2 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,2 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,2 ,3 個月前,收銀台常常大排長龍（收銀人員太少）,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,3 個月前,乾淨好逛,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,3 個月前,寬敞,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,3 ,3 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,3 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,3 ,3 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,3 ,3 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,3 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,3 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,3 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,3 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,3 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,3 個月前,餅乾飲料都很便宜,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,3 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,3 個月前,寬廣的賣場，舒適的空間，社區購物的好地方！,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,3 個月前,在地生活補給站！,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,3 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,3 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,3 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,3 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,4 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,4 個月前,賣場裡面居然還有中山區衛生所的 護理人員跟志工在那邊進行免費的 膽固醇血壓血糖尿酸的檢查 真是不錯,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,4 個月前,"(由 Google 提供翻譯) 方便的超市

(原始評論)
方便的超市",10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,4 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,4 個月前,整體購物環境很明亮，布局也很合理，顧客平均素質也很好 ！,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,3 ,4 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,4 個月前,購物環境很蘇服,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,4 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,4 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,4 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,4 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,4 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,4 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,4 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,4 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,4 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,4 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,2 ,4 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,4 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,4 個月前,商品完整，齊全，採購便利。,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,3 ,4 個月前,社區型補給站。,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,3 ,4 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,5 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,5 個月前,"(由 Google 提供翻譯) 只是市場

(原始評論)
그냥 마트",10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,5 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,5 個月前,賣場乾淨舒適。,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,5 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,1 ,5 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,5 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,5 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,1 ,5 個月前,"全聯福利中心
價位親民購物人多
客人挑選後
東西未歸位    後面人會誤認標示與價格不符合",10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,5 個月前,"(由 Google 提供翻譯) 生意很好

(原始評論)
生意很好",10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,5 個月前,購物環境優!,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,1 ,5 個月前,所有全聯的通病，什麼服務都想包，集點、兌點、推下載app、賣咖啡，卻從來不想去改善消費體驗和結帳效率。不知道是不是壓力大，店員一堆都臭臉，明明結帳卡了一堆人，卻還是堅持繼續推銷麵包、作試吃，不肯加開櫃台。,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,1 ,5 個月前,冰箱冷凍食材，常常沒標價錢,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,5 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,5 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,3 ,5 個月前,還好,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,5 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,3 ,5 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,5 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,6 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,5 ,6 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,6 個月前,店不大，好買,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,4 ,6 個月前,,10477台北市中山區合江街137號號1樓
全聯福利中心Pxmart 民生西店,2021-01-26,3 ,6 個月前,,10477台北市中山區合江街137號號1樓
