Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 永和永安,2021-01-26,3 ,3 天前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,3 天前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,3 天前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,1 ,4 天前,"該店「部分」店員
沒禮貌態度差
完全無服務熱忱
「您好」「謝謝」
這些用語或許全聯員工
是完全不需要使用到
只要結帳給錢有對就好
真的是很棒棒👍",23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,5 天前,商品補貨效率好，中正店望塵莫及。,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,3 ,1 週前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,2 週前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,2 週前,"(由 Google 提供翻譯) 偏小 在地下室

(原始評論)
偏小 在地下室",23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,2 週前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,1 ,2 週前,剪男生頭的女店員服務態度很差,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,2 週前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,2 週前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,3 ,2 週前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,2 ,3 週前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,2 ,3 週前,沒賣的東西還放在架上,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,3 週前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,3 ,3 週前,"全聯TOBLERONE瑞士三角巧克力聯名
巧克力布蕾派

全聯這回與瑞士百年經典品牌TOBLERONE瑞士三角巧克力攜手推出獨家聯名甜點

⚜️ 巧克力布蕾派

外型以花邊形狀呈現，一共有三層 最上面一層是巧克力甘納許
帶有濃濃的巧克力香氣
因為是黑巧克力，融化在口中時
帶有苦甜的氣味

中間是巧克力布蕾
口感較為厚實，類似於布丁的質地 巧克力香氣也比較淡

底層的派塔酥脆紮實，口感豐富 所以刀子落下時相當好切

整體而言，甜苦適中，不會過甜，不膩口濕潤濃厚，香氣十足
三種層次完美融合，蠻好吃的",23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,4 週前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,3 ,4 週前,地下室的收訊不好，賣場也不是非常大,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,1 個月前,選項多，服務不錯,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,3 ,1 個月前,"(由 Google 提供翻譯) 逛逛

(原始評論)
逛逛",23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,1 個月前,在地下室，有點不方便，如果下雨天容易地滑,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,1 個月前,花錢的好地方,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,1 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,1 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,3 ,1 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,1 個月前,在地下室，所以要現問店員他們的Wi-fi SSID和密碼，這樣才能用PxPay。我最愛到這家店買義美豆奶、黑豆奶。其他還有養樂多。店內空間算中等，下班後去買，人會比較多。平時還好。算是便利性很高的店。,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,1 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,2 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,2 個月前,地點方便，就在捷運站出口對面,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,2 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,2 個月前,因為拜拜。急著買祝壽麵線。跑了好幾家全聯都沒貨。把問題問櫃台。只有這家願意主動幫我問其他的門市庫存。雖然都沒了。還是很感謝。可惜問到訂貨的話要多久。確是沒法肯定。這是公司物流的問題。稍微有點不足。如訂貨後有明確時間。讓客戶知道多久前要先訂。不是簡單些。,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,3 ,2 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,2 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,2 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,2 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,2 個月前,"商品齊全,環境整潔",23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,3 ,2 個月前,越來越棒,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,2 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,2 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,2 ,3 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,3 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,3 個月前,好買，冷氣都開的很強很方便,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,3 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,3 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,3 ,3 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,3 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,3 ,3 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,3 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,3 個月前,好像優酪乳不會比大賣場貴,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,3 個月前,"方便購物的地方 …
服務人員親切喔 …",23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,3 個月前,位於車水馬龍的中正路地下室，算是全聯中型的賣場。商品眾多，但走道略顯不足，來買過捷克啤酒，有相當多全聯獨家引進的商品，頗具特色。,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,3 個月前,全新裝修完成後，動線大改變，整體規劃設計活潑大方，明亮乾淨。,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,3 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,4 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,4 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,3 ,4 個月前,晚餐吃啥順路就可以買了回家做晚餐,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,4 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,3 ,4 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,3 ,4 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,4 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,4 個月前,地下室沒電梯,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,1 ,5 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,5 個月前,東西多，但在地下室較不便!,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,5 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,5 個月前,今天第一次去，有一些特價品，而且商品的擺放不知道為什麼很厲害，才剛進門口就看到我們要買的了XD因為一下就看到想買東西，所以沒有多往深處逛，有機會再去逛逛吧！,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,5 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,5 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,3 ,5 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,5 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,5 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,5 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,5 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,5 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,6 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,6 個月前,"還算大，屬於長方形的賣場。
天花板略低，物品超齊全",23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,6 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,6 個月前,就是標準全聯，小了一點,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,6 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,6 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,7 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,3 ,7 個月前,生活必需品種類多，可以一次滿足購物,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,7 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,3 ,7 個月前,沒有電梯，內部也比較狹小，不過商品補充的速度跟服務還是很好的,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,7 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,7 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,3 ,7 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,7 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,7 個月前,光線明亮，貨品充足，偶而可以再搶到即期折扣品，會常常再去走走。,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,7 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,5 ,7 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,7 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,3 ,8 個月前,,23448新北市永和區中正路742號
全聯福利中心Pxmart 永和永安,2021-01-26,4 ,8 個月前,小而美，服務親切,23448新北市永和區中正路742號
