Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 永和永福,2021-01-26,1 ,21 小時前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,1 天前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,2 ,1 天前,結帳服務態度不佳、沒耐心。,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,6 天前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,6 天前,算是較新的門市，位於福和路近永福橋頭，店面不大，所以動線較為狹窄。,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,2 週前,方便日常生活用品購買的好地方！,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,2 週前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,2 週前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,3 週前,經過,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,3 週前,"(由 Google 提供翻譯) 好喔

(原始評論)
好喔",23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,4 週前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,1 個月前,方便 商品還算齊全,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,1 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,1 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,1 個月前,賣場不算大，週邊機車停車不易,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,1 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,1 個月前,面積剛好，位置剛好，環境還好，停車就不好，機車較好。,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,1 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,1 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,1 個月前,地點是很方便的優勢，賣場擁擠狹窄有閉塞感，就長這樣不然乜。,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,1 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,1 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,1 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,2 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,2 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,2 個月前,"(由 Google 提供翻譯) ˙方便

(原始評論)
˙方便",23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,2 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,2 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,2 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,2 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,3 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,3 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,3 個月前,商品多，但價格高,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,3 個月前,一樓方便,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,3 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,3 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,3 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,3 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,3 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,3 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,3 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,3 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,4 個月前,方便，服務好,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,2 ,4 個月前,走道稍微狹窄。又堆疊貨品。有些地方走不過去。很多缺貨。醬油。洗碗精。男生內褲。都沒有我要的品牌。服務方面。詢問會回應。但感覺真的不親切。我可能改去別的全聯,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,4 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,4 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,4 個月前,生鮮人員超親切,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,4 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,4 個月前,東西豐富，但是賣場受限，略顯擁擠，尤其門口處的推車。,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,4 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,4 個月前,補充日用品的好地方,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,4 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,4 個月前,面積較小，入口混雜狹窄。,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,4 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,4 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,5 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,5 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,5 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,5 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,5 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,5 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,5 個月前,全聯永福店局部改裝，麵包及甜點部份煥然一新。,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,5 個月前,空間很狹小，動線不怎麼好,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,5 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,5 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,5 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,2 ,5 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,5 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,5 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,6 個月前,就是超商，不好停車,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,6 個月前,"結帳動線糟
跟要買東西的卡在一起Q",23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,1 ,6 個月前,服務非常的差勁👎連一顆星也不夠格 …,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,1 ,6 個月前,"7/11將近打烊時間前往，該店店員服務態度不佳°門外有一個客人沒注意到已經打烊了，所以想走進來，店員直接用很兇的口氣重複多次 打烊了！！ 而我看不下去 詢問正在幫我結帳的店員(我是在打烊前進來消費的) 你們態度這麼差嗎？可以罵客人？櫃檯人員僅回覆:不好說。
服務業很辛苦，但是服務態度也應該要注意",23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,6 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,6 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,6 個月前,Pxpay 結帳速度快,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,6 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,1 ,6 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,6 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,6 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,7 個月前,貨色多,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,7 個月前,採購生活必需品還算方便，貨品的數量當然沒有竹林路的全聯多。,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,7 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,7 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,7 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,7 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,8 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,8 個月前,永和超方便購物去處。記得下永福橋不可以直接左轉喔！,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,8 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,1 ,8 個月前,"標價很常是讓人難以辨識的

（翻譯年糕）
看來店內沒有一個人願意改善此況",23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,8 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,8 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,1 ,9 個月前,服務很慢，態度很差,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,9 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,3 ,10 個月前,空間很小 走道擁擠,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,10 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,10 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,5 ,10 個月前,,23449新北市永和區福和路67、69號
全聯福利中心Pxmart 永和永福,2021-01-26,4 ,10 個月前,,23449新北市永和區福和路67、69號
