Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 永和竹林,2021-01-26,5 ,4 天前,東西放置位置有看得到,23441新北市永和區竹林路73-1號號
全聯福利中心Pxmart 永和竹林,2021-01-26,5 ,1 週前,,23441新北市永和區竹林路73-1號號
全聯福利中心Pxmart 永和竹林,2021-01-26,1 ,1 週前,年輕店員為了追求結帳速度 再拿商品的時候很粗魯 聽著塑膠袋發出的聲音 我都擔心內容物都碎了,23441新北市永和區竹林路73-1號號
全聯福利中心Pxmart 永和竹林,2021-01-26,4 ,1 週前,,23441新北市永和區竹林路73-1號號
全聯福利中心Pxmart 永和竹林,2021-01-26,5 ,2 週前,剛改裝完成，很好逛，東西變多了,23441新北市永和區竹林路73-1號號
全聯福利中心Pxmart 永和竹林,2021-01-26,5 ,2 週前,重新裝潢,23441新北市永和區竹林路73-1號號
全聯福利中心Pxmart 永和竹林,2021-01-26,5 ,2 週前,,23441新北市永和區竹林路73-1號號
全聯福利中心Pxmart 永和竹林,2021-01-26,5 ,3 週前,,23441新北市永和區竹林路73-1號號
全聯福利中心Pxmart 永和竹林,2021-01-26,5 ,3 週前,,23441新北市永和區竹林路73-1號號
全聯福利中心Pxmart 永和竹林,2021-01-26,4 ,3 週前,"裝修後感覺變寬敞些
多了一些東西但也少了一些東西
還好竹林路上有兩家全聯可以互補",23441新北市永和區竹林路73-1號號
全聯福利中心Pxmart 永和竹林,2021-01-26,5 ,4 週前,重新裝潢完成，冷藏商品變多了。,23441新北市永和區竹林路73-1號號
全聯福利中心Pxmart 永和竹林,2021-01-26,5 ,1 個月前,服務態度良好價格合理多樣化,23441新北市永和區竹林路73-1號號
全聯福利中心Pxmart 永和竹林,2021-01-26,5 ,2 個月前,,23441新北市永和區竹林路73-1號號
全聯福利中心Pxmart 永和竹林,2021-01-26,3 ,2 個月前,有兩層，但感覺東西種類不算多,23441新北市永和區竹林路73-1號號
全聯福利中心Pxmart 永和竹林,2021-01-26,4 ,2 個月前,,23441新北市永和區竹林路73-1號號
全聯福利中心Pxmart 永和竹林,2021-01-26,4 ,2 個月前,,23441新北市永和區竹林路73-1號號
全聯福利中心Pxmart 永和竹林,2021-01-26,4 ,2 個月前,,23441新北市永和區竹林路73-1號號
全聯福利中心Pxmart 永和竹林,2021-01-26,5 ,2 個月前,地點不錯就是商品少了一點,23441新北市永和區竹林路73-1號號
全聯福利中心Pxmart 永和竹林,2021-01-26,5 ,2 個月前,小小一間五臟俱全,23441新北市永和區竹林路73-1號號
全聯福利中心Pxmart 永和竹林,2021-01-26,3 ,2 個月前,,23441新北市永和區竹林路73-1號號
全聯福利中心Pxmart 永和竹林,2021-01-26,5 ,2 個月前,,23441新北市永和區竹林路73-1號號
