Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 永和警光,2021-01-26,1 ,20 小時前,,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,5 ,1 天前,每週光顧的好鄰居,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,1 ,3 天前,明明有裝設電梯卻封起來不給顧客使用,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,4 ,4 天前,,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,5 ,5 天前,,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,4 ,5 天前,目前電梯無法使用,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,5 ,1 週前,,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,4 ,1 週前,,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,4 ,1 週前,,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,3 ,2 週前,要排很久 除非你很熟悉場地 否則不適合快速採買,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,4 ,3 週前,,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,5 ,3 週前,,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,4 ,3 週前,,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,4 ,3 週前,全聯都是貨多齊全，常去有好康可檢的好賣場。,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,5 ,4 週前,現場服務人員多也親切,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,5 ,4 週前,,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,1 ,4 週前,,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,3 ,1 個月前,一般般的全聯福利中心,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,3 ,1 個月前,還不錯，物品還滿多選擇,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,5 ,1 個月前,,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,3 ,1 個月前,,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,3 ,1 個月前,全聯就是全聯....,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,3 ,1 個月前,,23448新北市永和區竹林路182號
全聯福利中心Pxmart 永和警光,2021-01-26,3 ,1 個月前,,23448新北市永和區竹林路182號
