Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,3 天前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,1 週前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,1 週前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,1 ,1 週前,服務人員態度不佳，要理不理的，不是只有你一家而已，算了！,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,3 ,2 週前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,2 週前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,3 ,3 週前,服務人員用心,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,3 ,3 週前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,3 週前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,3 週前,"堪稱迷你小賣場，
就在捷運站前方，
場地雖小規劃棒，
貨品齊全勝超商。",23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,2 ,3 週前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,3 週前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,4 週前,服務態度親切,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,1 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,1 個月前,"雖在地下一樓,但有電梯可搭。賣場内寛敞.舒適。生活所需應有盡有",23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,1 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,3 ,1 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,3 ,1 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,1 個月前,櫃檯人員態度都很好,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,1 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,1 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,1 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,1 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,1 個月前,服務態度好 有優惠會主動告知 一樣也有桌子可以整理購物東西^^ 基本上我遇到得收銀人員的服務態度大部份都很好。,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,1 個月前,"位置在地下室
有電梯可以下樓",23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,1 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,1 個月前,大多數的服務人員都很親切熱心,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,1 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,2 個月前,"永安捷運站對面的地下室
有電梯有樓梯
人潮頗多要排隊結帳
東西有標示牌方便辨識好找",23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,2 個月前,乾淨賣場大,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,2 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,2 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,2 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,2 個月前,員工認真，服務熱心，待人親切。,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,2 個月前,永安捷運站對面，很方便。為地下室內的超市，建議要戴口罩。1樓有電梯行動不便與年長者可以利用！,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,2 個月前,交通方便，拿口罩時也很迅速，冷凍食品應有盡有，而且居然有賣盒裝冷藏小卷，內附蔥薑，只想吃這道的話不用為了這個去買一大把蔥，一盒才89元，炒出來一大盤呢！超美味!外面熱炒不只這個價了呢！偶爾自己下廚炒一盤也不錯喔！不過記得要自己調味，加醬油.味淋和酒一起炒，味道很棒喔！,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,3 ,2 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,2 個月前,店員服務態度好 方便購物 東西齊全,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,2 個月前,裡面很好逛!!雖然空間沒有很大，但至少商品種類還是多,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,3 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,3 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,3 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,1 ,3 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,3 個月前,全聯越來越讚了!!,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,3 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,3 ,3 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,3 ,3 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,3 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,3 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,3 個月前,都很熱心又勤快！三不五時還有特價商品。實在太棒了,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,3 個月前,離捷運站很近,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,3 個月前,就我看到的和接觸過的，我覺得問問題的時候服務態度很棒，上架物品也好，結帳時櫃檯效率不錯，尤其是對於住在這附近的人來說確實非常方便。給讚。,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,3 個月前,入口有電梯，但是走樓梯比較快,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,3 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,3 個月前,收銀人員親切，服務優,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,3 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,3 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,3 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,4 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,4 個月前,東西很齊全,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,4 個月前,地點優方便採購,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,4 個月前,地點很好，捷運出口對面就是了！在地下一樓有電梯可搭，下班順便採買很方便，東西齊全，缺點是不好停車,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,4 個月前,下班時間人潮擁擠，請支援收銀,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,3 ,4 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,4 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,4 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,4 個月前,買東西很便利,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,4 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,4 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,5 個月前,全聯福利中心 永安捷運店,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,1 ,5 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,5 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,5 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,5 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,5 個月前,算大型全聯，東西很多，很好逛,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,5 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,5 ,5 個月前,,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,5 個月前,地點方便 離捷運站很近,23447新北市永和區中和路489號B1
全聯福利中心Pxmart 永安捷運,2021-01-26,4 ,5 個月前,有電梯，很好,23447新北市永和區中和路489號B1
