Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,1 天前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,1 天前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,2 週前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,2 週前,不好停車,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,3 ,2 週前,該店經常貨架空空，補貨不及，反應全聯客服多次，未曾改善，其他店都無此現象，新春店明顯管理不善!,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,3 ,2 週前,"(由 Google 提供翻譯) 滿意

(原始評論)
Puas",251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,3 ,2 週前,很多貨品常常備貨不足⋯飲料類跟零食區常買不到想買的商品,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,2 週前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,3 週前,"結帳時收銀小姐
服務態度 讚喔！",251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,1 ,3 週前,貨物不齊全未能即時補貨,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,3 週前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,3 週前,比沙崙店好得多,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,4 週前,都設置了無障礙進入，非常方便。,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,4 週前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,4 週前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,1 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,1 個月前,"2020 07 19 (日)【淡水·日常·新春街】生鮮超市/全聯福利中心/新春店

全聯福利中心，所販售的日常生活用品及食品(生鮮蔬菜水果，肉品乾糧南北乾貨)，因價格策略(便宜)，所以在台北市與新北市選的店，絕多數點是位在市街與巷口的1樓或是在B1,少部分的點則在路口，當然絕多數的點，是承接原永久結束營業松青超市，或原頂好超市經營困難的點而來。

所以開車族在停車方便性而言是相當困擾，除非是新發展的城市的點較沒這問題。 …",251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,1 個月前,"(由 Google 提供翻譯) 便宜、方便，常有折扣商品。

(原始評論)
便宜、方便，常有折扣商品。",251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,1 個月前,"一樓有提供寬敞洗手間及提款機,沒做商業用途,有電梯至B1賣場蠻貼心的服務。",251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,1 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,1 個月前,單純方便 偶有特別商品 肉的部份還是家樂福好。,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,1 個月前,雖然不如淡水其他間大，但也一應俱全，而且服務人員整體服務也都很親切，不會有漏給點數或抽獎卷的情況。唯一建議是賣場的籃子和推車有時不足、或損壞不好推，希望可以改進!覺得還好有全聯，購物買菜非常推薦👍,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,1 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,1 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,2 個月前,乾淨衛生,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,2 個月前,貨源足,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,2 個月前,方便性高，服務親切,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,2 個月前,不錯!,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,2 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,2 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,3 ,2 個月前,沒賣洗衣機替換用的濾袋,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,3 ,2 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,2 個月前,購物很方便,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,2 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,3 ,2 個月前,都一樣,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,3 個月前,方便，離家近,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,3 個月前,很乾淨衛生,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,3 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,3 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,3 個月前,物美價廉！,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,3 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,3 ,3 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,3 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,3 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,3 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,3 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,3 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,4 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,3 ,4 個月前,離家近~不過小間了點，滿多東西來這裡是找不到的，當然我只的是你有品牌主義的情況下，不然也算是應有盡有了。,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,4 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,4 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,4 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,2 ,4 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,4 個月前,物品淡水最齊全的店之一,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,4 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,4 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,3 ,5 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,5 個月前,生活用品購買好地方，就是停車不太方便。,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,5 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,2 ,5 個月前,樓梯走到吐,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,5 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,5 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,5 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,5 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,5 個月前,pxpay會員綁定信用卡 好處多多 尤其綁定新光卡,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,3 ,6 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,6 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,3 ,6 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,6 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,2 ,6 個月前,"(由 Google 提供翻譯) 一般一般，方便而已！

(原始評論)
一般一般，方便而已！",251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,6 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,6 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,6 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,6 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,3 ,6 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,1 ,6 個月前,"今天109年7月9號晚上7點到新春街全聯超市買生活用品,結帳的時候紀姓高胖的男資深結帳員服務態度惡劣,多嘴多話,他還需要再教育訓練,今天他工作恍神分神,如果今天心情不爽不悅不要來上班工作而影響整体,造成客人心理陰影,不尊重客人,講話很不得體,我帶著憤怒離開全聯超市。是有一位女的值班人員來排解糾紛給道歉,但是就是不見那位男結帳員的道歉,還是態度很傲慢~我就是給這家新春街全聯超市差評負評。",251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,6 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,6 個月前,少數店員訓練有素的賣場，生活不能缺少的好鄰居,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,7 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,7 個月前,方便好買,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,7 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,7 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,7 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,7 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,7 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,7 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,7 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,7 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,8 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,8 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,3 ,8 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,8 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,8 個月前,滿常去的中型商場,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,9 個月前,"(由 Google 提供翻譯) 方便
外型一般

(原始評論)
方便
外型一般",251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,10 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,10 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,10 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,10 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,10 個月前,"(由 Google 提供翻譯) 好啊

(原始評論)
Nice",251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,10 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,1 ,10 個月前,詢問事！很沒耐心,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,10 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,10 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,10 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,10 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,10 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,10 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,10 個月前,"(由 Google 提供翻譯) 方便地方的超商

(原始評論)
方便地方的超商",251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,10 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,11 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,11 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,11 個月前,離家近,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,11 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,11 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,11 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,11 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,11 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,11 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,11 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,11 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,11 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,11 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,11 個月前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,11 個月前,服務好 東西齊全,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,3 ,11 個月前,地下室地點，個人比較不喜歡,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,1 年前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,1 年前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,1 年前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,4 ,1 年前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,1 年前,店員很親切！讚,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,1 年前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,1 年前,,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,1 年前,環境優雅，交通便利， 種類繁多，購物非常方便,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,1 年前,此區除了有全聯，美聯，7_11和藥局。說實在很方便。但是全聯員工辛苦了，拍謝。結賬有些慢,251新北市淡水區新春街140號B1
全聯福利中心Pxmart 淡水新春,2021-01-26,5 ,1 年前,,251新北市淡水區新春街140號B1
