Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 萬華萬大,2021-01-26,2,1 天前,"(由 Google 提供翻譯) 目前整修中

(原始評論)
目前整修中",10869台北市萬華區萬大路406號1號樓、B1
全聯福利中心Pxmart 萬華萬大,2021-01-26,5,1 週前,,10869台北市萬華區萬大路406號1號樓、B1
全聯福利中心Pxmart 萬華萬大,2021-01-26,5,1 週前,,10869台北市萬華區萬大路406號1號樓、B1
全聯福利中心Pxmart 萬華萬大,2021-01-26,4,1 週前,看起來舊但還不錯，旁邊的君王排骨常有小強,10869台北市萬華區萬大路406號1號樓、B1
全聯福利中心Pxmart 萬華萬大,2021-01-26,4,2 週前,"(由 Google 提供翻譯) 整修哦

(原始評論)
整修哦",10869台北市萬華區萬大路406號1號樓、B1
全聯福利中心Pxmart 萬華萬大,2021-01-26,5,2 週前,產品豐富，價格比其他賣場便宜，重點是有供應雷柯德水果酒,10869台北市萬華區萬大路406號1號樓、B1
全聯福利中心Pxmart 萬華萬大,2021-01-26,5,3 週前,,10869台北市萬華區萬大路406號1號樓、B1
全聯福利中心Pxmart 萬華萬大,2021-01-26,5,3 週前,,10869台北市萬華區萬大路406號1號樓、B1
全聯福利中心Pxmart 萬華萬大,2021-01-26,4,3 週前,,10869台北市萬華區萬大路406號1號樓、B1
全聯福利中心Pxmart 萬華萬大,2021-01-26,1,3 週前,有一股奇怪的氣味,10869台北市萬華區萬大路406號1號樓、B1
全聯福利中心Pxmart 萬華萬大,2021-01-26,5,4 週前,,10869台北市萬華區萬大路406號1號樓、B1
全聯福利中心Pxmart 萬華萬大,2021-01-26,3,4 週前,,10869台北市萬華區萬大路406號1號樓、B1
全聯福利中心Pxmart 萬華萬大,2021-01-26,3,1 個月前,,10869台北市萬華區萬大路406號1號樓、B1
全聯福利中心Pxmart 萬華萬大,2021-01-26,4,1 個月前,,10869台北市萬華區萬大路406號1號樓、B1
全聯福利中心Pxmart 萬華萬大,2021-01-26,5,1 個月前,空間很大  東西很多 很方便,10869台北市萬華區萬大路406號1號樓、B1
全聯福利中心Pxmart 萬華萬大,2021-01-26,1,1 個月前,,10869台北市萬華區萬大路406號1號樓、B1
