Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,18 小時前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,3 ,3 天前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,3 天前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,1 週前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,5 ,1 週前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,3 ,1 週前,超級小型全聯福利中心人員親切唯一欠缺的是購物後沒有桌子可以整理物品,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,1 週前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,5 ,2 週前,有一樓和二樓，商品品項還算齊全，生鮮商品流動速度快，還蠻新鮮的。有個電梯可以上二樓。,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,3 週前,貨色蠻齊全但部份貨品漏掉訂價要在去詢問才知道價格,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,1 ,3 週前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,5 ,3 週前,就一般的全聯ㄚ,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,5 ,4 週前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,3 ,1 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,1 個月前,在生活中每天必須品都在全聯！,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,3 ,1 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,5 ,1 個月前,買桂冠芝麻湯圓、花生湯圓,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,1 個月前,地點方便，產品多樣化,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,5 ,1 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,5 ,1 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,5 ,1 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,2 ,1 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,1 ,1 個月前,在排隊線上等候卻被一個突然來的大媽插隊，收營員看到直接幫她結帳沒有阻止.....排隊是排假的哦,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,3 ,1 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,1 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,1 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,5 ,2 個月前,"(由 Google 提供翻譯) 很棒

(原始評論)
很棒",10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,1 ,2 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,3 ,2 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,5 ,2 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,3 ,2 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,3 ,2 個月前,結帳的動線設計尚待調整,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,3 ,2 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,3 ,2 個月前,買些日用品，廚房必須品,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,3 ,2 個月前,商品很多但缺點門口有點窄結帳跟進店裡擠在一起,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,3 ,2 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,1 ,2 個月前,要買的東西都沒有,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,5 ,2 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,5 ,2 個月前,還不錯 但靠近馬偕那往後走會看到「奇哥」→「85度c」經過橋 會看到另一間全聯 更大間 東西更多🥰,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,3 ,3 個月前,全聯讚,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,3 ,3 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,3 個月前,"(由 Google 提供翻譯) 好

(原始評論)
好",10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,5 ,3 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,3 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,3 個月前,場域舒適，還有賣便當呢,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,3 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,3 ,3 個月前,"(由 Google 提供翻譯) 新鮮農產品選擇不佳

(原始評論)
Poor fresh produce selection",10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,3 ,3 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,2 ,3 個月前,不喜歡看到吳寶春的麵包攤位。,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,3 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,2 ,3 個月前,"場所較小,購買物品,常缺貨。",10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,5 ,3 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,1 ,3 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,5 ,3 個月前,服務佳，商品多元,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,3 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,3 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,3 ,3 個月前,"九點才開，部分商品缺貨性高。
結帳動線不好，常大排長龍。",10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,3 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,3 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,3 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,4 個月前,方便，購物,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,4 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,3 ,4 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,5 ,4 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,3 ,4 個月前,常常在請支援收銀,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,3 ,4 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,3 ,4 個月前,,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,3 ,4 個月前,店面比較狹窄一點，逛起來有點壓迫感，蔬菜肉類的東西有時候到晚上就都沒了,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,4 個月前,貨多,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,4 個月前,服務不錯,10449台北市中山區錦西街8號
全聯福利中心Pxmart 萬華雙園,2021-01-26,4 ,4 個月前,,10449台北市中山區錦西街8號
