Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,6 天前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,1 週前,品項多價格合理,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,2 ,1 週前,地方小東西少,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,3 ,1 週前,貨架上很空曠...,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,2 ,2 週前,女收銀有兩位態度很差，籃子用摔的，雖然還是會說謝謝什麼的，但如果沒說，遇到忍不住的，一定飆罵了,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,2 週前,買東西方便。,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,3 週前,各方面的食材都有，只可惜能刷的信用卡銀行太少,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,3 週前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,3 週前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,3 ,3 週前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,1 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,1 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,1 個月前,方便購買，但陳設狹窄..,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,1 個月前,讚,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,1 ,1 個月前,服務態度不佳，等待時間過久,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,3 ,1 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,1 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,1 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,1 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,1 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,2 ,1 個月前,有的東西沒有很齊全~,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,1 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,1 個月前,"(由 Google 提供翻譯) 東西很多，又便宜，

(原始評論)
东西很多，又便宜，",24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,1 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,1 個月前,略顯小，但該有的都有,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,1 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,1 ,1 個月前,"(由 Google 提供翻譯) 地方很窄

(原始評論)
地方很窄",24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,1 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,1 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,1 個月前,"(由 Google 提供翻譯) 便宜

(原始評論)
便宜",24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,1 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,1 個月前,買東西,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,1 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,3 ,1 個月前,"(由 Google 提供翻譯) 不錯的購物場所!!!

(原始評論)
Nice shopping place!!!",24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,1 個月前,店員很有耐心！超讚的！！！！,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,2 個月前,"第一次遇到結帳人員疏失
按錯品項多扣錢
卻因為禮券不能重刷要客人再去多買東西的⋯

還好小姐態度很好
只是客人應對處理方面可能需要加強訓練",24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,2 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,3 ,2 個月前,停車不是很方便，更別說開車來的……,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,3 ,2 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,2 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,2 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,2 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,2 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,2 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,1 ,2 個月前,11/11上午11:06，結帳前，已跟小姐說APP裡面點數全額扣掉，小姐耳朵很硬，講了還是沒扣，想必是結帳不帶腦，系統按錯來不及扣點，道個歉就算了，態度還一付無所謂！直接回，先不扣，因為會沒兩倍點數，到底是你說了算還我說了算？整個城市客人點數都你來作主？我就不想兩倍，就是要扣掉，此分店員工教育訓練是怎麼回事，只要活著的人類就錄用是吧～～態度真另人不悅！一顆星都不想給！,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,1 ,2 個月前,客人結帳要扣ＡＰＰ點數折現金，店員萬般阻止是怎回事，我ＡＰＰ裡面的回饋是你花錢付的嗎？還要聽你的？莫名奇妙！,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,2 個月前,麻雀雖小 五臟俱全,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,3 ,2 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,2 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,2 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,3 個月前,如果店可以更大選擇可以比較多,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,3 ,3 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,3 ,3 個月前,比頂好超市便宜～,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,3 個月前,親切方便！,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,3 個月前,請支援收銀。,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,3 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,3 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,3 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,3 個月前,目標明顯，交通方便,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,3 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,4 個月前,貨物很齊全,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,4 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,4 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,3 ,4 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,4 個月前,東西種類偏少,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,3 ,4 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,1 ,4 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,4 個月前,"本人不住蘆洲，今天到蘆洲辦事情有空檔時間，經過這家全聯，雖然比我逛過的全聯來說特別小，品項不如別家齊全，但不得不說，商品擺得整齊，結帳也很流暢，人手不多的情況下，看見有其他客人在詢問，店員也邊忙手上事情，邊積極回答需求。
離開後看消費明細發現某件商品與我在DM上看到的不一樣，打去詢問，該店員清楚耐心解釋，並表明樂意我到現場幫我解決問題，此次購物經驗很愉快，下次有來蘆洲，一定來這間！",24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,4 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,3 ,5 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,5 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,5 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,5 個月前,方便購物,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,5 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,5 個月前,服務人員都很親切，就是東西品項太少，很常買不到要的東西,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,5 個月前,空間小了些，造成販售物品較少,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,3 ,5 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,5 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,5 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,2 ,5 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,5 個月前,最近更新了設施，多了咖啡機、麵包抬及擴大冷凍櫃等，還不錯啦,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,5 個月前,很讚的超市,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,5 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,6 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,6 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,6 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,3 ,6 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,6 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,4 ,6 個月前,海產新鮮物廉價美👍👍👍,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,6 個月前,改裝前改裝後差異不大！！,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,6 個月前,買麵包的好去處，不過要趁早！,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,1 ,6 個月前,服務態度隨便，結帳亂甩東西很粗魯,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,7 個月前,👍,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,3 ,7 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,5 ,7 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,2 ,7 個月前,,24741新北市蘆洲區民族路31號1樓
全聯福利中心Pxmart 蘆洲民權店,2021-01-26,1 ,7 個月前,"店員各個臭臉
買東西要看店員臉色
似乎很不歡迎消費者去消費",24741新北市蘆洲區民族路31號1樓
