Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 金城,2021-01-26,3 ,2 分鐘前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,1 ,4 小時前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,4 ,5 小時前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,5 ,3 天前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,4 ,3 天前,除了周圍停車困難，要帶電梯到地下一樓麻煩外。商品項目多 還不錯。,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,5 ,3 天前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,3 ,4 天前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,5 ,6 天前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,5 ,1 週前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,5 ,1 週前,有地下停車，購物方便,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,4 ,1 週前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,5 ,1 週前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,4 ,1 週前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,5 ,1 週前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,3 ,2 週前,好逛好買,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,4 ,2 週前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,4 ,2 週前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,4 ,2 週前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,5 ,2 週前,產品齊全、購物方便、離住居約4條街巷。,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,4 ,2 週前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,4 ,3 週前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,5 ,4 週前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,1 ,4 週前,下午跟家人去買日常用品結帳時一位戴眼睛的收銀員，講話有氣無力的感覺，還用斜眼看人，只是要結賬而已並沒有欠你錢好嗎！,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,5 ,1 個月前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,5 ,1 個月前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,5 ,1 個月前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,4 ,1 個月前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,5 ,1 個月前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,5 ,1 個月前,讚,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,4 ,1 個月前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,4 ,1 個月前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,4 ,1 個月前,櫃檯素質有待提升，其它的購物體驗優良,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,3 ,1 個月前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,5 ,1 個月前,"便利的全聯購物，從20年前的「國軍福利站」我記得當時是需要拿證件才能進入，後來全聯接手，也經過幾次的內部擺設調整，現在更為寬敞舒適。
重點是離家夠近，不用開車，就能快速買到約莫大賣場的價格，又比一般便利商店便宜的同產品，而且選擇也多，會員還能享受一些優惠！！
謝謝全聯同仁的辛勞～～～",23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,5 ,1 個月前,"(由 Google 提供翻譯) 在地下室

(原始評論)
在地下室",23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,4 ,1 個月前,商品種類蠻多的，可以滿足日常需求,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,4 ,1 個月前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,3 ,1 個月前,日常生活所需樣樣齊全。,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,4 ,1 個月前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,5 ,1 個月前,品項算多，缺點是不太好停車,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,4 ,2 個月前,缺點就是結帳太慢了 不然可以5星,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,4 ,2 個月前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,5 ,2 個月前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,5 ,2 個月前,重新裝潢後 色調更溫馨,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,4 ,2 個月前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,5 ,2 個月前,賣場寬闊 貨物齊全 服務親切,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,4 ,2 個月前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,5 ,2 個月前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,4 ,2 個月前,全聯真方便,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,4 ,2 個月前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
全聯福利中心Pxmart 金城,2021-01-26,3 ,2 個月前,,23643新北市土城區金城路３段12號B1、B1-1，14號B1
