Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 關渡藝大,2021-01-26,3 ,1 天前,商品排列較亂,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,3 ,1 週前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,1 週前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,1 週前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,1 週前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,2 週前,物件超多……早上8－9點就開門離家也蠻近～太方便,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,1 ,2 週前,很久以前想買特價的蘭韻化妝棉，因架上沒有，詢問店員是否有庫存，店員A詢問同事B後拿了我要的數量給我，接著聽到A詢問同事B是否要補貨，B居然回答不用，往後我在關渡的全聯買東西，就特別觀察到，他們常常不補貨，尤其是特價商品，過了很久真的受不了，去年12月跟全聯客服反應，客服回覆會督導改進，但過了半個月仍然沒有改進，最近去買特價的咖啡一樣架上空，不然就是剩一個，一個是要怎麼買一送一，關渡這間真的很扯，而且反應客服感覺也不積極改善，之後我會改去北投或竹圍的全聯採買，在這間買根本是浪費 …,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,1 ,2 週前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,2 週前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,2 週前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,1 ,2 週前,"109年12月初要買「靠得住柔棉超薄產褥墊」缺貨中，12月中旬再前往要購買該項貨品，有詢問店員，店員說還是缺貨中，今天110年1月6日（三）要購買該項貨品，貨架上依然空無一物，仔細一看已撤掉「靠得住柔棉超薄產褥墊」貨品標架，真是太誇張了！
既然不賣「靠得住柔棉超薄產褥墊」，店員就說不賣就好啦！何必讓顧客直接白跑這麼多趟！
水果區賣的椪柑一袋69元，有些還爛掉了還要賣給顧客，真糟糕！",11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,1 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,1 個月前,方便，價格合理,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,1 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,1 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,1 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,1 ,1 個月前,"買個東西顧客需要學會把貨物籃扳開
還是我走到你們倉庫區買東西了？
為什麼你們貨物藍可以放在走道？
推車完全過不去！",11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,1 ,1 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,3 ,1 個月前,收銀小姐可能因為血汗工作心情不好，臉很臭,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,3 ,1 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,2 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,2 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,2 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,1 ,2 個月前,女店員結帳超不情願.連把商品從提藍拿出來手會斷掉一樣...一臉好像客人欠她幾百萬的吳姓店員,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,3 ,2 個月前,"(由 Google 提供翻譯) 尚可

(原始評論)
尚可",11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,2 ,2 個月前,"蔬果類品質偏差，肉類還可以。
最大問題是告示牌貼不清楚，商品偶爾被亂放沒檢查，員工幾乎都站著聊天",11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,2 個月前,服務不錯,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,2 個月前,生鮮食品很多，很好買,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,2 個月前,採購方便，但樓梯不便,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,2 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,1 ,2 個月前,"多數服務人員態度不佳，汽機車停車不方便；感覺沒有良好的員工訓練⋯
有「多刷一筆物品」的事件！去退費的時候感覺超差的！這陣子都不想去全聯消費了",11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,3 個月前,服務態度親切，購物方便。,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,3 ,3 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,3 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,3 ,3 個月前,有停車場，但路線怪，一直迷路,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,3 ,3 個月前,結帳速度很慢常常只有一線收銀。 請加快結帳速度謝謝。 最近多了很多新口味的餅乾。,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,3 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,3 ,3 個月前,跟其他全聯比起來東西比較少,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,3 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,3 ,3 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,4 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,4 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,4 個月前,讚,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,4 個月前,就是一個的全聯，各種生鮮、日用貨品、整潔都在標準以上，很不錯；,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,4 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,4 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,2 ,5 個月前,尚可—買不到我要買的。,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,5 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,3 ,5 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,5 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,5 個月前,位於地下室，入口後方可通往停車場有電梯可上樓,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,3 ,5 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,5 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,5 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,3 ,5 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,6 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,6 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,6 個月前,跟竹圍比相對小，但好停車,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,6 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,1 ,6 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,6 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,6 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,3 ,6 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,3 ,6 個月前,店鋪位於地下室。傳統超市的商品都有。販售生鮮蔬果魚肉類，冷藏冷凍品，以及一般家庭生活用品。,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,3 ,6 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,7 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,7 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,7 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,7 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,7 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,1 ,7 個月前,"我看留言10個月之前 就有人反映台灣之星沒有訊號
到今天為止2020/6/5  還是沒有訊號  完全沒有改善
電信業者的訊號 你們無能為力
但是起碼應該給客人 可用的WIFI吧(有詢問店員密碼 但還是無法上網)
想要推行你們自己的行動支付 PX PAY
海報文宣貼得滿牆都是
但是卻沒有提供一個便利顧客使用的環境

由於這是離我家最近的全聯
逼於無奈 還是會來
但若是問題沒有解決  我會持續反映
要是想刪留言 也沒有關係  我會想辦法直接連絡全聯官網或是客服
直到問題改善",11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,7 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,7 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,3 ,7 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,7 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,7 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,3 ,8 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,3 ,8 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,8 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,8 個月前,外面有停車位，不錯,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,8 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,8 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,8 個月前,有地下停車場，好逛。,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,9 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,1 ,10 個月前,補貨速度也太慢了，貨架都空快兩個星期了還沒補貨,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,10 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,5 ,10 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,1 ,10 個月前,後台辦活動的在搞屁啊～ 買整箱24罐比零買24罐還貴!!,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,1 ,10 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,3 ,10 個月前,,11257台北市北投區中央北路四段532號
全聯福利中心Pxmart 關渡藝大,2021-01-26,4 ,10 個月前,,11257台北市北投區中央北路四段532號
