Store,Today,Star Reviews,Date,Text,Address
全聯福利中心Pxmart 龍山店,2021-01-26,5 ,6 小時前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,4 ,2 天前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,3 ,4 天前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,5 ,1 週前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,5 ,1 週前,常逛，喜歡，東西很足夠,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,5 ,2 週前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,3 ,3 週前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,4 ,3 週前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,5 ,3 週前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,5 ,3 週前,商品擺放很好，不會有擁擠感。,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,5 ,4 週前,很便利的日常購物商場，商品選擇多，價格優惠，地點適中交通便捷，也附設停車場*,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,4 ,1 個月前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,4 ,1 個月前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,3 ,1 個月前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,5 ,1 個月前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,4 ,1 個月前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,4 ,1 個月前,還可以,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,5 ,1 個月前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,4 ,1 個月前,便利，但是疏菜價格比傳統市高。,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,5 ,1 個月前,真方便的超級市場,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,4 ,1 個月前,貨物齊全，很好逛,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,4 ,1 個月前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,3 ,1 個月前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,5 ,1 個月前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,5 ,1 個月前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,5 ,2 個月前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,1 ,2 個月前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,4 ,2 個月前,環境舒適~,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,4 ,2 個月前,店面乾淨明亮，樓下有停車場。,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,4 ,2 個月前,方便採買的地方,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,5 ,2 個月前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,3 ,2 個月前,普遍態度很差,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,5 ,2 個月前,異國香料種類繁多，文山旗艦店,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,5 ,2 個月前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,5 ,2 個月前,方便停車很棒,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,5 ,2 個月前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,2 ,2 個月前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,4 ,2 個月前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,4 ,2 個月前,貨色種類多.服務態度佳。,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,5 ,2 個月前,,11661台北市文山區忠順街二段22號
全聯福利中心Pxmart 龍山店,2021-01-26,5 ,2 個月前,選擇多，平價定位。,11661台北市文山區忠順街二段22號
