Store,Today,Star Reviews,Date,Text,Address
全聯福利中心,2021-01-26,5 ,1 週前,購物的好去處,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,1 個月前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",10491台北市中山區大直街126號
全聯福利中心,2021-01-26,1 ,1 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,2 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,4 個月前,在大直，所以當然店比較小，其它都ok,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,4 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,4 個月前,東西多，很好買,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,4 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,5 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,6 個月前,可用悠悠卡結帳喔！,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,6 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,6 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,6 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,2 ,7 個月前,2020/6/24 21:45 插隊結帳店員都沒在管的 放任各種插隊 真火大,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,7 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,7 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,7 個月前,少缺貨，只一層樓較好逛,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,7 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,7 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,1 ,8 個月前,"很糟糕的購買經驗。
結帳動線擁擠，店員像機器人一樣只負責刷條碼收錢。幾次的消費經驗都非常的不舒服，以下舉兩個例子：
1、對於動作慢的老弱婦孺完全漠視需求，客人雖然動作慢但是並不是故意，就嫌棄客人寧願讓別人插隊（觀察後面並沒有因為客人反應慢而讓排隊人潮停滯）
2、防疫期間完全不管社交距離，客人結帳的排隊動線仍然擠在一起，看到這樣的狀況，只能趕快逃離不敢進去消費。",10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,8 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,1 ,9 個月前,問結帳男店員，說要折抵現金，結果全聯根本也沒講交易密碼是多少，也不教怎麼操作，而且我從來沒說要電子發票，就預設用電子發票，又一付不耐煩態度，好歹也設個客服讓人詢問，也沒有，花錢來受氣是嗎？,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,10 個月前,這間全聯的動線我有點不喜歡，不過優點是所有東西都在一樓不用爬上或爬下，前方也有機車停車格可以停。,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,10 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,10 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,10 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,10 個月前,方便購物的地方,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,10 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,11 個月前,"(由 Google 提供翻譯) 好

(原始評論)
好",10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,11 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,11 個月前,"(由 Google 提供翻譯) 整潔的商店

(原始評論)
A tidy store",10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,11 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,11 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,11 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,11 個月前,什麼都有,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,11 個月前,乾淨，服務人員熱心且仔細,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,11 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,11 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,11 個月前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 年前,這邊 收銀員 工作人員服務較親切 在這可以慢慢的逛,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,1 ,1 年前,退換貨很不合理，限制多，要退換貨不容易，還是家樂褔好！,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,1 年前,方便的好鄰居,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,1 年前,"(由 Google 提供翻譯) 商品很多

(原始評論)
商品很多",10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,1 年前,"(由 Google 提供翻譯) 比另家分店好太多了

(原始評論)
比另家分店好太多了",10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,1 年前,毗鄰小7，實践大學，服務員很有耐性解說app用wifi比較好!,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,明朗寬敞品項多也有用餐區及乾淨的廁所,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 年前,服務親切，購物方便。,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,"(由 Google 提供翻譯) 便利

(原始評論)
便利",10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,2 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,乾淨 很大間,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,1 年前,"(由 Google 提供翻譯) 尚可

(原始評論)
尚可",10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,2 ,1 年前,我真的好喜歡住家附近的這一間全聯 物美價廉 聘僱許多看似二度就業的婦女 不但實踐企業社會責任 也保留了部份傳統市場的人情味 大部分的員工都相當親切 但是近日我感覺到有一位戴白框眼鏡的女性中年結帳人員服務感覺不到位 經常會漏打商品折扣 商品結帳時也不會將雞蛋等易碎物放最後 水果等先結帳 於是擺了一整個櫃台後 客人才能收置整理 最後一長串的電子帳單和一點也不吸引我的各種抽獎折價卷落落長她總是捏著小紙角給我自己整理 感覺影響到結帳效率 更遑論以客為尊 希望這方面的教育訓練以及信用卡退款流程的SOP可以加強,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,2 ,1 年前,很適合,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,1 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 年前,"(由 Google 提供翻譯) 方便好超市

(原始評論)
方便好超市",10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 年前,"(由 Google 提供翻譯) 經濟實惠，便利的購物中心

(原始評論)
생필품이 저렴하고, 쇼핑하기 좋은 마트",10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,"(由 Google 提供翻譯) 方便

(原始評論)
方便",10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 年前,地方相較附近另一家分店較大。,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,服務好,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,"(由 Google 提供翻譯) 不錯的商店。

(原始評論)
nice shop.",10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,生鮮，蔬菜都不錯！,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,1 年前,生鮮蔬果種類蠻多的,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,1 年前,小型賣場，全聯，開到晚上11點，方便,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,3 ,1 年前,實踐店服務水準比北安店優,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 年前,都在同一層,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,4 ,1 年前,生鮮肉品蔬果 種類多 是在地的好鄰居,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,臺灣人的好朋友,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,,10491台北市中山區大直街126號
全聯福利中心,2021-01-26,5 ,1 年前,,10491台北市中山區大直街126號
